cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.7250023540089991e+01,4.9998867897831047e+01,-3.0798452011270896e+01,-6.2156079317555371e+00,8.4139129383020170e-17,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.9376711927589923e+01,-4.7522712346875231e+01,-3.0618533781172044e+01,-6.2176079317555306e+00,1.0052334217365721e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.7584425538486194e+01,4.8542117722112351e+01,-3.0239268167127559e+01,-6.2196079317555304e+00,1.4659234556252081e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6845356130731659e+01,-4.9063438031915965e+01,-3.0144736145885481e+01,-6.2216079317555382e+00,1.6080421936807267e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5714886230388892e+01,4.9810707528601320e+01,-2.9990981471038104e+01,-6.2236079317555433e+00,1.8715595834237240e-16,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.6873450771995437e+01,-4.7973791703103025e+01,-2.9629219821488782e+01,-6.2256079317554924e+00,2.6819220884978836e-16,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5104576510464618e+01,4.8978540360285393e+01,-2.9302795623314111e+01,-6.2276079317555357e+00,3.7097256787026988e-16,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6301176514763462e+01,4.7483092695210459e+01,-2.9128409626017962e+01,-6.2296079317555479e+00,4.4076599724162537e-16,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.9028564410621513e+01,4.3907071483187430e+01,-2.8794349705232769e+01,-6.2316079317555442e+00,6.1435567575455756e-16,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9535555255655233e+01,-4.3168058747576126e+01,-2.8722457085853087e+01,-6.2336079317554800e+00,6.5883073899483616e-16,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.3979583877531489e+01,4.8062049541237485e+01,-2.8357016453977774e+01,-6.2356079317555579e+00,9.4757613582351913e-16,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.9017414354182563e+01,4.2460117308481394e+01,-2.8164036792349922e+01,-6.2376079317555178e+00,1.1469791622480255e-15,7.5105594597148008e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7180238063778631e+01,4.4302772562493296e+01,-2.8079747035645976e+01,-6.2396079317555637e+00,1.2453559933890355e-15,7.3251230859379108e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5737559762908653e+01,4.5752611785934015e+01,-2.8062323724751948e+01,-6.2416079317554871e+00,1.2647123922229725e-15,7.1442651525427204e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.8848413874520404e+01,4.1991760743139295e+01,-2.7883571975079263e+01,-6.2436079317555402e+00,1.5092253230307446e-15,6.9678726174334350e-23,0.0000000000000000e+00,0.0000000000000000e+00
