cmpt_0,logl,logv,weight
-2.4919947741379294e+00,-4.0239575097987146e+00,-4.6101660193249021e+00,1.7792943317320074e-04
-2.2370835275241636e+00,-3.4212098871933172e+00,-4.6201660193248868e+00,3.2186578807835768e-04
2.1767107265910015e+00,-3.2879733262615023e+00,-4.6301660193248999e+00,3.6407912208384472e-04
2.1302508653352854e+00,-3.1879229072642055e+00,-4.6401660193248961e+00,3.9838609833937416e-04
2.1070419047022257e+00,-3.1387513267189311e+00,-4.6501660193249013e+00,4.1430118607510232e-04
-2.1015744596584045e+00,-3.1272461373775968e+00,-4.6601660193248975e+00,4.1492525735938458e-04
2.0167072577307588e+00,-2.9524926143252981e+00,-4.6701660193249008e+00,4.8923939221503685e-04
-2.0164340554465725e+00,-2.9519416826156948e+00,-4.6801660193248891e+00,4.8463830800101577e-04
-1.8794780033131813e+00,-2.6851573151023906e+00,-4.6901660193248995e+00,6.2652408888743565e-04
-1.8169778073891083e+00,-2.5696427089056053e+00,-4.7001660193248913e+00,6.9624515306712350e-04
-1.7932824233876947e+00,-2.5268694576489610e+00,-4.7101660193249000e+00,7.1944140246630206e-04
-1.7911666075777100e+00,-2.5230774406840606e+00,-4.7201660193248962e+00,7.1498895709711397e-04
-1.7765469922794943e+00,-2.4969981405219981e+00,-4.7301660193248987e+00,7.2657840455570629e-04
1.7640703423007724e+00,-2.4749106189259216e+00,-4.7401660193249038e+00,7.3541423075004027e-04
1.7450684598079704e+00,-2.4415704973416208e+00,-4.7501660193248929e+00,7.5278076848407194e-04
1.7401599170265678e+00,-2.4330168010462954e+00,-4.7601660193248980e+00,7.5169280582166589e-04
1.7305931853883898e+00,-2.4164149192897062e+00,-4.7701660193248987e+00,7.5667181015784499e-04
-1.6395305322215998e+00,-2.2629687156767604e+00,-4.7801660193248923e+00,8.7338443781985247e-04
1.5817545445636738e+00,-2.1699122522572569e+00,-4.7901660193248956e+00,9.4902229015758383e-04
1.5417793678200784e+00,-2.1074803421511801e+00,-4.8001660193248954e+00,1.0001089234377885e-03
