cmpt_0,logl,logv,weight
-4.0424937119304882e+00,-9.0898162381321068e+00,-4.6101660193249021e+00,1.1224662804639065e-06
2.0277795271665662e+00,-2.9748834380312710e+00,-4.6201660193248868e+00,5.0293508223525521e-04
1.9063894778120867e+00,-2.7360989531896598e+00,-4.6301660193248999e+00,6.3222515299979527e-04
1.7904297442709063e+00,-2.5217578672183310e+00,-4.6401660193248961e+00,7.7556102556883668e-04
1.7859280134317639e+00,-2.5137079672135028e+00,-4.6501660193249013e+00,7.7405007774511837e-04
-1.7797946496464907e+00,-2.5027730300884770e+00,-4.6601660193248975e+00,7.7477410430635001e-04
-1.6980662151807586e+00,-2.3606529682024924e+00,-4.6701660193249008e+00,8.8420732920373342e-04
-1.5713807815699299e+00,-2.1535573129770014e+00,-4.6801660193248891e+00,1.0768412064484181e-03
-1.5557826144561089e+00,-2.1291683043552823e+00,-4.6901660193248995e+00,1.0924478969834004e-03
-1.5251096351642213e+00,-2.0819182322687118e+00,-4.7001660193248913e+00,1.1339090818869534e-03
-1.5112901133851615e+00,-2.0609374360412067e+00,-4.7101660193249000e+00,1.1464289195476948e-03
-1.4875093692742232e+00,-2.0252805944726378e+00,-4.7201660193248962e+00,1.1762232444597878e-03
-1.4825154522288189e+00,-2.0178645656819492e+00,-4.7301660193248987e+00,1.1731878408470749e-03
-1.4717888330600042e+00,-2.0020197171934040e+00,-4.7401660193249038e+00,1.1800650244953199e-03
-1.4640028803370289e+00,-1.9905907494508979e+00,-4.7501660193248929e+00,1.1817525047396684e-03
1.4389206678810949e+00,-1.9541848768610275e+00,-4.7601660193248980e+00,1.2133733616366087e-03
-1.4305016085534412e+00,-1.9421059586703309e+00,-4.7701660193248987e+00,1.2158984894478453e-03
1.4183856574108518e+00,-1.9248474692077466e+00,-4.7801660193248923e+00,1.2247561836717467e-03
1.3873557811324186e+00,-1.8813165643541112e+00,-4.7901660193248956e+00,1.2665196370365746e-03
1.3321640270804218e+00,-1.8062690301569029e+00,-4.8001660193248954e+00,1.3516421079188918e-03
-1.2945523203095719e+00,-1.7568713876427877e+00,-4.8101660193248987e+00,1.4059565252202779e-03
1.2937044225531045e+00,-1.7557740991000701e+00,-4.8201660193249003e+00,1.3934952518202981e-03
-1.2864483497313415e+00,-1.7464132108965855e+00,-4.8301660193249010e+00,1.3926049371020947e-03
1.2831311775233021e+00,-1.7421513419995074e+00,-4.8401660193248999e+00,1.3846368701679152e-03
-1.2780750541709389e+00,-1.7356764546803638e+00,-4.8501660193248908e+00,1.3797644621177682e-03
1.2705312492562761e+00,-1.7260633603016964e+00,-4.8601660193248915e+00,1.3792307267505241e-03
1.2523153567051364e+00,-1.7030854089530960e+00,-4.8701660193248957e+00,1.3972469701176247e-03
-1.2443892745437422e+00,-1.6931908659330899e+00,-4.8801660193249008e+00,1.3970996284410836e-03
-1.1919547670488657e+00,-1.6293166159785972e+00,-4.8901660193249050e+00,1.4744317239816155e-03
1.1612277918373115e+00,-1.5931635249010188e+00,-4.9001660193248906e+00,1.5135013398667135e-03
1.1540453760336513e+00,-1.5848488976056654e+00,-4.9101660193248922e+00,1.5109526743489891e-03
-1.1516073981266961e+00,-1.5820383323434088e+00,-4.9201660193249026e+00,1.5001287343323522e-03
1.1266944916989587e+00,-1.5536587714457268e+00,-4.9301660193248953e+00,1.5279553791813835e-03
-1.1234113618692856e+00,-1.5499650766218409e+00,-4.9401660193248880e+00,1.5183499454964504e-03
1.1227498625499766e+00,-1.5492221595613351e+00,-4.9501660193249064e+00,1.5043593102639777e-03
-1.1094619021013643e+00,-1.5343913887405281e+00,-4.9601660193248920e+00,1.5116441067484726e-03
-1.0901697785211060e+00,-1.5131736056337179e+00,-4.9701660193249033e+00,1.5286968707522617e-03
-1.0792464033319766e+00,-1.5013249321858433e+00,-4.9801660193248907e+00,1.5315255459098119e-03
1.0665263371914759e+00,-1.4876777465948723e+00,-4.9901660193248940e+00,1.5371215023558126e-03
-1.0553095229653531e+00,-1.4757776272640200e+00,-5.0001660193249080e+00,1.5400449932474710e-03
-1.0525622564690620e+00,-1.4728821845049613e+00,-5.0101660193248980e+00,1.5291424302394409e-03
1.0489212167373845e+00,-1.4690563920942570e+00,-5.0201660193248872e+00,1.5197302736458195e-03
1.0442177099854195e+00,-1.4641338455569364e+00,-5.0301660193248994e+00,1.5120334705210124e-03
1.0355654896464386e+00,-1.4551364743066735e+00,-5.0401660193249072e+00,1.5105182220356735e-03
1.0353958461205373e+00,-1.4549608117151711e+00,-5.0501660193248954e+00,1.4957510390291803e-03
1.0348531386189970e+00,-1.4543990418881338e+00,-5.0601660193248881e+00,1.4817002082330411e-03
-1.0074583123644758e+00,-1.4264246582094784e+00,-5.0701660193248976e+00,1.5085736495295723e-03
-1.0052254210340035e+00,-1.4241776061798341e+00,-5.0801660193248974e+00,1.4969229783972254e-03
