cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.5589080212135180e+01,-4.8149803706388397e+01,-2.9120033591012948e+01,-6.2156079317555371e+00,4.5073976315143596e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.6039934231933657e+01,-4.7650424083565092e+01,-2.9087386730373687e+01,-6.2176079317555306e+00,4.6476737507884629e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.9879945142175394e+01,-4.3236290818925127e+01,-2.8923123289077282e+01,-6.2196079317555304e+00,5.4664546784176890e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7628893386243057e+01,4.5530570198816569e+01,-2.8843915972389158e+01,-6.2216079317555382e+00,5.9052251862173400e-16,2.4915203368933706e-10,2.8622412562455390e-01,5.4863633695268726e-02
-4.1361828595031518e+01,4.9937186046045476e+01,-2.8158811507862431e+01,-6.2236079317555433e+00,1.1692434962623912e-15,2.4225289469423713e-11,2.6301946344029459e-01,-1.4604079036107387e-02
-4.9484696170577479e+01,-4.1514171755623984e+01,-2.7997002491500872e+01,-6.2256079317554924e+00,1.3718579262616011e-15,9.9909835412554461e-14,2.0824656393169513e-01,-9.0502635346238480e-03
4.6254938602217990e+01,4.5029823184528425e+01,-2.7972216038876049e+01,-6.2276079317555357e+00,1.4034765722146638e-15,2.7164588024732053e-15,1.7235436056532230e-01,-6.1533152647383904e-03
-4.6825639990778896e+01,-4.3670184910407635e+01,-2.7634822486527934e+01,-6.2296079317555479e+00,1.9627488724612437e-15,2.1188253978141787e-16,1.4701558365186709e-01,-4.4536680900293113e-03
-4.0684743438001327e+01,4.9204623015760816e+01,-2.7517910806947455e+01,-6.2316079317555442e+00,2.2017613555642669e-15,3.1609726354321225e-17,1.2817226352217381e-01,-3.3720669171842521e-03
-4.3390142033591403e+01,4.6162038919805781e+01,-2.7204385747896296e+01,-6.2336079317554800e+00,3.0065183510147249e-15,7.2300832011310921e-18,1.1361054305839582e-01,-2.6414913522063571e-03
4.2617662067971359e+01,-4.6840772984718846e+01,-2.7187810102980663e+01,-6.2356079317555579e+00,3.0506612188066482e-15,2.2244699613577714e-18,1.0201999591920016e-01,-2.1249738787585959e-03
4.5124704672097437e+01,4.4156686114269938e+01,-2.7066453934942658e+01,-6.2376079317555178e+00,3.4373971007332671e-15,8.4778713150976421e-19,9.2575448990927608e-02,-1.7463770796251193e-03
4.7193970734671723e+01,4.1848268367059617e+01,-2.7028936628384272e+01,-6.2396079317555637e+00,3.5616781874939477e-15,3.7902900164053877e-19,8.4731401457380104e-02,-1.4606343985068132e-03
-4.5238484372071376e+01,4.3656283631787709e+01,-2.6898152277358008e+01,-6.2416079317554871e+00,4.0512123653731622e-15,1.9148046099764428e-19,7.8112794875800654e-02,-1.2396888569401882e-03
3.9924955387864955e+01,-4.8538863579796484e+01,-2.6886311134957303e+01,-6.2436079317555402e+00,4.0912777443519422e-15,1.0643830251077896e-19,7.2453267642370672e-02,-1.0653325634814026e-03
3.8926433039241026e+01,4.8789315772904850e+01,-2.6614517046985487e+01,-6.2456079317555488e+00,5.3583249460161654e-15,6.3851215476510917e-20,6.7558438048912303e-02,-9.2533129775253242e-04
-4.4797946138514781e+01,-4.3054430691016506e+01,-2.6438894335035879e+01,-6.2476079317555122e+00,6.3742990248932060e-15,4.0742513812581982e-20,6.3283128717883816e-02,-8.1121816072149411e-04
4.9838526269287584e+01,3.6631896204559034e+01,-2.6265067034432079e+01,-6.2496079317555679e+00,7.5693063266259108e-15,2.7349027661220315e-20,5.9516724199500062e-02,-7.1698258281532173e-04
4.9838526269287584e+01,3.6631896204559034e+01,-2.6265067034432079e+01,-6.2516079317555011e+00,7.5541828424984671e-15,1.9148586760761898e-20,5.6173463655769015e-02,-6.3826228446504929e-04
-3.7802805093678103e+01,-4.8021441813078489e+01,-2.5811749167039295e+01,-6.2536079317555178e+00,1.1862940488661289e-14,1.3890198069243011e-20,5.3185831294543136e-02,-5.7182917207335843e-04
3.8560685398730890e+01,-4.7405774432458635e+01,-2.5807363973057036e+01,-6.2556079317555247e+00,1.1891269674798023e-14,1.0383030998706321e-20,5.0499949500050503e-02,-5.1525303030354463e-04
-4.8449925644002349e+01,3.7014610928886384e+01,-2.5723578018882762e+01,-6.2576079317555537e+00,1.2904685265106654e-14,7.9634249241277298e-21,4.8072300740313434e-02,-4.6667605805565671e-04
-3.9158247895486674e+01,-4.6690791430054276e+01,-2.5703186346297883e+01,-6.2596079317555580e+00,1.3144219981432034e-14,6.2444989018563611e-21,4.5867351619117515e-02,-4.2465837995664391e-04
3.7904777537558530e+01,-4.7633454180427634e+01,-2.5664785019905302e+01,-6.2616079317554982e+00,1.3631502075250840e-14,4.9917085716241958e-21,4.3855802122620823e-02,-3.8807010107619333e-04
