cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.8796521014447208e+01,-4.9303037798737279e+01,-3.1195644429737328e+01,-6.2156079317555371e+00,5.6558715582890541e-17,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.9190323427749192e+01,-4.6520061022399183e+01,-3.0055214415523373e+01,-6.2176079317555306e+00,1.7656857478554374e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.5563404391516166e+01,-4.8607455052371840e+01,-2.9329736965317721e+01,-6.2196079317555304e+00,3.6401197913965988e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5343933316065645e+01,-4.8734146249689857e+01,-2.9291640929541643e+01,-6.2216079317555382e+00,3.7739138770240278e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7224387484001909e+01,4.6218114754357053e+01,-2.8967478956682172e+01,-6.2236079317555433e+00,5.2084098573989288e-16,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7764451724259807e+01,-4.5505706603520721e+01,-2.8897255343276079e+01,-6.2256079317554924e+00,5.5761479857414163e-16,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8521192811505486e+01,4.4600208383444283e+01,-2.8853618131741527e+01,-6.2276079317555357e+00,5.8132245935956229e-16,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9256337589835120e+01,4.3500650788307539e+01,-2.8728661492102226e+01,-6.2296079317555479e+00,6.5738000798435423e-16,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6289396704114438e+01,4.6211813169162397e+01,-2.8527394051314062e+01,-6.2316079317555442e+00,8.0233777964290657e-16,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8425102618351659e+01,-4.3462560242688163e+01,-2.8306117965487733e+01,-6.2336079317554800e+00,9.9905094830217191e-16,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8340838231616488e+01,4.2096059615667791e+01,-2.7680768813757659e+01,-6.2356079317555579e+00,1.8633941738342420e-15,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.3187897949615348e+01,4.6300598403705919e+01,-2.7180894142490025e+01,-6.2376079317555178e+00,3.0656950714650924e-15,7.5105594597148008e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.3899278996735056e+01,4.5526904114522623e+01,-2.7135422906682404e+01,-6.2396079317555637e+00,3.2019037554044998e-15,7.3251230859379108e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7599553759422733e+01,4.1456138211581361e+01,-2.7057839000821357e+01,-6.2416079317554871e+00,3.4532971224590444e-15,7.1442651525427204e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7672735141561198e+01,4.1195438683522745e+01,-2.6984963654278431e+01,-6.2436079317555402e+00,3.7069328472212414e-15,6.9678726174334350e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5860997645384138e+01,-4.3012742381216682e+01,-2.6902829994166019e+01,-6.2456079317555488e+00,4.0162091852321704e-15,6.7958352295335443e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.9804150710586548e+01,3.7966124805614200e+01,-2.6745594737043263e+01,-6.2476079317555122e+00,4.6906620104541551e-15,6.6280454598753201e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.3515084784920312e+01,-4.5019387670134158e+01,-2.6737733783414956e+01,-6.2496079317555679e+00,4.7182344845513244e-15,6.4643984343907061e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.8199772741981853e+01,3.9713846386091170e+01,-2.6638232869035519e+01,-6.2516079317555011e+00,5.2014404358363632e-15,6.3047918683616096e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.3088037873223982e+01,4.4907156030369386e+01,-2.6502352785753430e+01,-6.2536079317555178e+00,5.9465765094490504e-15,6.1491260024886301e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.2785633224758357e+01,-4.4754438248959701e+01,-2.6304045200369266e+01,-6.2556079317555247e+00,7.2363957856732713e-15,5.9973035405382426e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8739072725079851e+01,3.7968677811134285e+01,-2.6221782957383517e+01,-6.2576079317555537e+00,7.8411499881820456e-15,5.8492295885294858e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.7444975054506337e+01,4.8791198852212922e+01,-2.6049730644595726e+01,-6.2596079317555580e+00,9.2946393367001696e-15,5.7048115954221406e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9805360870221811e+01,3.5513399479617938e+01,-2.5845072003311550e+01,-6.2616079317554982e+00,1.1382720499564344e-14,5.5639592952693090e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.6233987636386878e+01,-4.8926028435190503e+01,-2.5669485025626336e+01,-6.2636079317555389e+00,1.3540476210779132e-14,5.4265846507982640e-23,0.0000000000000000e+00,0.0000000000000000e+00
