cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.9747405248810907e+01,-4.9308955570260551e+01,-3.1667081575348544e+01,-6.2156079317555371e+00,3.5298559889963347e-17,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.8320882772971970e+01,4.9936605424140112e+01,-3.1279055799479597e+01,-6.2176079317555306e+00,5.1928508841149578e-17,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.8799388160020705e+01,-4.7071228103784854e+01,-3.0121598433206373e+01,-6.2196079317555304e+00,1.6489770450332585e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.7390256991736031e+01,-4.8481585418815989e+01,-3.0117697345575486e+01,-6.2216079317555382e+00,1.6521148765985258e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8716292840933633e+01,4.6910120790403887e+01,-3.0005377536921227e+01,-6.2236079317555433e+00,1.8448094983375510e-16,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6553481801749093e+01,-4.8941514927465597e+01,-2.9948687189557411e+01,-6.2256079317554924e+00,1.9485127058108776e-16,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9987582754831990e+01,4.5423613178721780e+01,-2.9946509752658422e+01,-6.2276079317555357e+00,1.9488584745381087e-16,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8125729987825487e+01,-4.5817467998225872e+01,-2.9212825736399488e+01,-6.2296079317555479e+00,4.0508543915654891e-16,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7008431074683301e+01,-4.6933439872757560e+01,-2.9198896285216801e+01,-6.2316079317555442e+00,4.0994682530959784e-16,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7220876042685646e+01,4.6516302883064775e+01,-2.9104082273990318e+01,-6.2336079317554800e+00,4.4981728552621566e-16,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.3675163414102222e+01,-4.9327224900649284e+01,-2.8839669511490641e+01,-6.2356079317555579e+00,5.8479083170089340e-16,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5727720721697686e+01,-4.6387307167500182e+01,-2.8350227976519772e+01,-6.2376079317555178e+00,9.5212446388196870e-16,7.5105594597148008e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5727720721697686e+01,-4.6387307167500182e+01,-2.8350227976519772e+01,-6.2396079317555637e+00,9.5022211793422484e-16,7.3251230859379108e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.6344072692235173e+01,-4.4872648477185237e+01,-2.7942832708552864e+01,-6.2416079317554871e+00,1.4252336349070825e-15,7.1442651525427204e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.3180767934856931e+01,-4.7572318040510595e+01,-2.7774715249209095e+01,-6.2436079317555402e+00,1.6827901408601332e-15,6.9678726174334350e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.9717254178003337e+01,-4.8992959526467558e+01,-2.7025046246262860e+01,-6.2456079317555488e+00,3.5541723275437840e-15,6.7958352295335443e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.1172892663861560e+01,4.6643334717774785e+01,-2.6490233252773002e+01,-6.2476079317555122e+00,6.0553078039217326e-15,6.6280454598753201e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6920476854606569e+01,-4.0198287437864550e+01,-2.6223361739256049e+01,-6.2496079317555679e+00,7.8916617224998614e-15,6.4643984343907061e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.5789708023331748e+01,4.9915462194886686e+01,-2.5998477265874296e+01,-6.2516079317555011e+00,9.8620217899054776e-15,6.3047918683616096e-23,0.0000000000000000e+00,0.0000000000000000e+00
