cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.4877656602446379e+01,-4.8468167665227803e+01,-2.8952031128010468e+01,-6.2156079317555371e+00,5.3319788097264267e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.9497880267158997e+01,4.3681018277392035e+01,-2.8926551976711128e+01,-6.2176079317555306e+00,5.4586503984842367e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.4901760511078656e+01,4.8377313291755485e+01,-2.8918857124866427e+01,-6.2196079317555304e+00,5.4898252877097654e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.2239031877460945e+01,-4.9720551709972327e+01,-2.8417539814697776e+01,-6.2216079317555382e+00,9.0450146764665470e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.2807736376008435e+01,4.8984925422028716e+01,-2.8296320494449560e+01,-6.2236079317555433e+00,1.0190267128899577e-15,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9951048632122244e+01,4.0868788181355278e+01,-2.7963019967557432e+01,-6.2256079317554924e+00,1.4192782895238084e-15,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.3292566638059817e+01,4.7432811513092496e+01,-2.7756784103988849e+01,-6.2276079317555357e+00,1.7408689048159142e-15,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.6018956744539807e+01,-4.4685495838728848e+01,-2.7708884024296196e+01,-6.2296079317555479e+00,1.8226371554996247e-15,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.9325974638609217e+01,-4.9601383607349767e+01,-2.7170342118451810e+01,-6.2316079317555442e+00,3.1168608101006758e-15,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7152869446079293e+01,-4.1455266586143289e+01,-2.6845855556887834e+01,-6.2336079317554800e+00,4.3030019467245844e-15,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.4250073352152107e+01,4.3766239100733330e+01,-2.6503957816718806e+01,-6.2356079317555579e+00,6.0448740378364133e-15,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.8733214389716068e+01,4.8313793910066281e+01,-2.6308617327972129e+01,-6.2376079317555178e+00,7.3342205039404054e-15,7.5105594597148008e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.1047995194933542e+01,4.5876048543022563e+01,-2.6083943130477053e+01,-6.2396079317555637e+00,9.1634737090607001e-15,7.3251230859379108e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.6409099797946475e+01,-4.9424942702827721e+01,-2.5978431979624947e+01,-6.2416079317554871e+00,1.0162825293175964e-14,7.1442651525427204e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.7290570929796409e+01,4.8746933211682340e+01,-2.5970445322323783e+01,-6.2436079317555402e+00,1.0223849127550963e-14,6.9678726174334350e-23,0.0000000000000000e+00,0.0000000000000000e+00
