cmpt_0,logl,logv,weight
-2.7022213939684963e+00,-4.5699387636438615e+00,-4.6101660193249021e+00,1.0306973263128440e-04
2.3599448833043803e+00,-3.7036084587506020e+00,-4.6201660193248868e+00,2.4267815001243997e-04
-2.1223594250069824e+00,-3.1711432970913238e+00,-4.6301660193248999e+00,4.0919885729855641e-04
-1.8669200910232571e+00,-2.6616338457664828e+00,-4.6401660193248961e+00,6.7432399008709640e-04
-1.7843805474809327e+00,-2.5109455017475160e+00,-4.6501660193249013e+00,7.7619132054679003e-04
1.6669608464135204e+00,-2.3083177643711794e+00,-4.6601660193248975e+00,9.4107870352765771e-04
1.6524519359711600e+00,-2.2842372329807565e+00,-4.6701660193249008e+00,9.5442332092953526e-04
1.6522943437508451e+00,-2.2839768318288574e+00,-4.6801660193248891e+00,9.4517274224073522e-04
-1.6341554415988384e+00,-2.2541705362868867e+00,-4.6901660193248995e+00,9.6407973356047870e-04
-1.5953126807695708e+00,-2.1914498073454367e+00,-4.7001660193248913e+00,1.0162703967811295e-03
-1.5767514871001582e+00,-2.1620111586696193e+00,-4.7101660193249000e+00,1.0362185746618715e-03
-1.5716655978340872e+00,-2.1540049083409292e+00,-4.7201660193248962e+00,1.0341546723551850e-03
-1.5498710810119440e+00,-2.1199887165119056e+00,-4.7301660193248987e+00,1.0592917698271248e-03
-1.5484964858750372e+00,-2.1178592160170089e+00,-4.7401660193249038e+00,1.0509873373607077e-03
-1.5340625115317483e+00,-2.0956124272768872e+00,-4.7501660193248929e+00,1.0639376955386486e-03
1.5299030790363981e+00,-2.0892402482558650e+00,-4.7601660193248980e+00,1.0600849128748965e-03
1.5225458001609544e+00,-2.0780113894272199e+00,-4.7701660193248987e+00,1.0613884083211062e-03
1.5035654280972570e+00,-2.0492930309179833e+00,-4.7801660193248923e+00,1.0814429657119813e-03
-1.4648036298362654e+00,-1.9917633696240888e+00,-4.7901660193248956e+00,1.1340846956437852e-03
1.4586046628069029e+00,-1.9827023138143589e+00,-4.8001660193248954e+00,1.1330203531648255e-03
1.4536635197110994e+00,-1.9755073469027704e+00,-4.8101660193248987e+00,1.1298466468409251e-03
1.4397877207482741e+00,-1.9554328730420945e+00,-4.8201660193249003e+00,1.1412867872894370e-03
1.3762174097029649e+00,-1.8659257120181088e+00,-4.8301660193249010e+00,1.2357320501624228e-03
1.3489981794610830e+00,-1.8288365767279977e+00,-4.8401660193248999e+00,1.2696644880486226e-03
-1.3188261966894661e+00,-1.7885898011705406e+00,-4.8501660193248908e+00,1.3086544323925020e-03
-1.2473272453727264e+00,-1.6968511611578965e+00,-4.8601660193248915e+00,1.4201153468629451e-03
1.2383331444582228e+00,-1.6856730209652344e+00,-4.8701660193248957e+00,1.4217894277886694e-03
-1.2381951355828904e+00,-1.6855021295239057e+00,-4.8801660193249008e+00,1.4078829612002963e-03
-1.2225991430842273e+00,-1.6663128649684831e+00,-4.8901660193249050e+00,1.4208799953278832e-03
-1.2137858876145955e+00,-1.6555766231195150e+00,-4.9001660193248906e+00,1.4219264918328151e-03
-1.2011255293466907e+00,-1.6402898012575235e+00,-4.9101660193248922e+00,1.4294638707296381e-03
-1.1918460490696350e+00,-1.6291870349747888e+00,-4.9201660193249026e+00,1.4310411047890824e-03
-1.1667104699547592e+00,-1.5995451929843671e+00,-4.9301660193248953e+00,1.4594272535621742e-03
1.1473531606229630e+00,-1.5771481702290908e+00,-4.9401660193248880e+00,1.4776324181981508e-03
-1.1462089202249441e+00,-1.5758359770349557e+00,-4.9501660193249064e+00,1.4648506364391752e-03
1.1377498555123129e+00,-1.5661758994924839e+00,-4.9601660193248920e+00,1.4643527854311083e-03
-1.1317598205786332e+00,-1.5593786783714294e+00,-4.9701660193249033e+00,1.4596702897603786e-03
1.1289057018496729e+00,-1.5561525744676907e+00,-4.9801660193248907e+00,1.4498160483670888e-03
1.1181208980068631e+00,-1.5440357039131765e+00,-4.9901660193248940e+00,1.4528883719777334e-03
-1.1024149974806545e+00,-1.5265979459684753e+00,-5.0001660193249080e+00,1.4637348908976625e-03
1.0528405711126538e+00,-1.4731751667237489e+00,-5.0101660193248980e+00,1.5286944843206866e-03
1.0469022482384580e+00,-1.4669406913167085e+00,-5.0201660193248872e+00,1.5229489718679753e-03
1.0467009131288658e+00,-1.4667299334057402e+00,-5.0301660193248994e+00,1.5081131896996932e-03
-1.0415106426589593e+00,-1.4613107420192786e+00,-5.0401660193249072e+00,1.5012206106555495e-03
1.0327023904014745e+00,-1.4521756462037991e+00,-5.0501660193248954e+00,1.4999227600066573e-03
-1.0251684289190195e+00,-1.4444236864594848e+00,-5.0601660193248881e+00,1.4965546604918450e-03
-1.0222717018633563e+00,-1.4414582488486407e+00,-5.0701660193248976e+00,1.4860639952443172e-03
1.0010176360181724e+00,-1.4199566864430446e+00,-5.0801660193248974e+00,1.5032547236348017e-03
1.0006796846220563e+00,-1.4196184482409886e+00,-5.0901660193249070e+00,1.4888005732928296e-03
9.8768812700239983e-01,-1.4067024507440937e+00,-5.1001660193248899e+00,1.4931482478613271e-03
9.7930935411442843e-01,-1.3984619381613490e+00,-5.1101660193248888e+00,1.4905233821933485e-03
-9.7480293174679400e-01,-1.3940589105044119e+00,-5.1201660193249117e+00,1.4822042666932846e-03
9.7300003300431503e-01,-1.3923030647465384e+00,-5.1301660193248875e+00,1.4700349777726277e-03
9.7234438002117651e-01,-1.3916653293127226e+00,-5.1401660193248944e+00,1.4563363465532216e-03
-9.6756536830256668e-01,-1.3870299036025802e+00,-5.1501660193248933e+00,1.4485446403108373e-03
-9.6534531424005210e-01,-1.3848843204959520e+00,-5.1601660193249019e+00,1.4372117317735925e-03
9.4853214126579088e-01,-1.3687951441404727e+00,-5.1701660193248982e+00,1.4459898661496700e-03
-9.3579245705137026e-01,-1.3567922939704598e+00,-5.1801660193248997e+00,1.4488888693643721e-03
-9.2074945337580572e-01,-1.3428283105792620e+00,-5.1901660193249066e+00,1.4546436391486687e-03
9.0738608805729526e-01,-1.3306132890333002e+00,-5.2001660193248975e+00,1.4578692772612173e-03
8.3837451851260114e-01,-1.2703744492789575e+00,-5.2101660193248884e+00,1.5329819267855828e-03
8.2676450431261816e-01,-1.2607083054289840e+00,-5.2201660193248891e+00,1.5324702167649658e-03
7.7907247663394663e-01,-1.2224154945576151e+00,-5.2301660193248987e+00,1.5764472907560296e-03
-7.6819367705424679e-01,-1.2139992953664016e+00,-5.2401660193248967e+00,1.5739524884184060e-03
-7.6694524241155693e-01,-1.2130410350622003e+00,-5.2501660193248982e+00,1.5597853639673454e-03
-7.6024844444731210e-01,-1.2079273812756184e+00,-5.2601660193248856e+00,1.5521823033813414e-03
7.5784685321293022e-01,-1.2061044590957097e+00,-5.2701660193249014e+00,1.5395417397655621e-03
-7.5697812335928760e-01,-1.2054464722556140e+00,-5.2801660193248923e+00,1.5252262922348459e-03
-7.5118650308310553e-01,-1.2010791138404517e+00,-5.2901660193249151e+00,1.5166593889925258e-03
-7.3512947448669563e-01,-1.1891462047628822e+00,-5.3001660193248936e+00,1.5195937887434710e-03
-7.3041766971320454e-01,-1.1856935187479736e+00,-5.3101660193248952e+00,1.5096770305688904e-03
-7.2467263436186036e-01,-1.1815137461298186e+00,-5.3201660193249030e+00,1.5009158876318263e-03
-7.2067707000888503e-01,-1.1786262522516351e+00,-5.3301660193248930e+00,1.4902784883200546e-03
-7.1256514321906506e-01,-1.1728130742987428e+00,-5.3401660193248937e+00,1.4840520011812262e-03
7.0989390480633074e-01,-1.1709132106739293e+00,-5.3501660193248943e+00,1.4720795323604923e-03
7.0864831219420732e-01,-1.1700297478211890e+00,-5.3601660193249012e+00,1.4587202523317292e-03
6.9606051211560749e-01,-1.1611886508966602e+00,-5.3701660193248957e+00,1.4570307161384977e-03
-6.9393833215019252e-01,-1.1597137370470350e+00,-5.3801660193248910e+00,1.4446622000013854e-03
6.9258691882352341e-01,-1.1587768526960704e+00,-5.3901660193249050e+00,1.4316282128928194e-03
-6.8500189322229088e-01,-1.1535523294924008e+00,-5.4001660193248888e+00,1.4248078038953712e-03
6.7309766500455936e-01,-1.1454687659506344e+00,-5.4101660193248966e+00,1.4220798650696246e-03
-6.6817740443507434e-01,-1.1421690545321359e+00,-5.4201660193249124e+00,1.4125833697451265e-03
-6.6433745872449745e-01,-1.1396106621656013e+00,-5.4301660193248917e+00,1.4021104944026148e-03
-6.5418226813715141e-01,-1.1329157526058733e+00,-5.4401660193249004e+00,1.3974840420445461e-03
6.4635255483405163e-01,-1.1278243452035923e+00,-5.4501660193248966e+00,1.3906411703944062e-03
-6.4387536041262383e-01,-1.1262262725065826e+00,-5.4601660193248893e+00,1.3790060515334491e-03
-6.3886484533768528e-01,-1.1230126779375118e+00,-5.4701660193248998e+00,1.3696792409308143e-03
-6.3648613512261643e-01,-1.1214958327350022e+00,-5.4801660193248960e+00,1.3581091845820679e-03
6.0933636373335809e-01,-1.1045839347172350e+00,-5.4901660193248976e+00,1.3675288130171009e-03
6.0238936290355793e-01,-1.1003750049030168e+00,-5.5001660193248920e+00,1.3596322445395778e-03
5.9767898178838363e-01,-1.0975486152691389e+00,-5.5101660193248962e+00,1.3499136728762362e-03
5.9403898697872026e-01,-1.0953796916586915e+00,-5.5201660193248889e+00,1.3393836801864785e-03
5.8446416612674734e-01,-1.0897377133764565e+00,-5.5301660193248949e+00,1.3335593175873410e-03
5.7148800996725813e-01,-1.0822378054015078e+00,-5.5401660193249169e+00,1.3302294607811297e-03
5.5776732999477607e-01,-1.0744907298380901e+00,-5.5501660193248945e+00,1.3272359276908102e-03
-5.5275112633410128e-01,-1.0717054364651482e+00,-5.5601660193249005e+00,1.3176947695623328e-03
-5.5238430758184753e-01,-1.0715027442646781e+00,-5.5701660193248888e+00,1.3048479432357855e-03
5.5159671337056004e-01,-1.0710679997339414e+00,-5.5801660193249027e+00,1.2924262423903788e-03
-5.4956269941992575e-01,-1.0699481129301973e+00,-5.5901660193248945e+00,1.2810001586037551e-03
-5.4186883054076884e-01,-1.0657494473891498e+00,-5.6001660193248943e+00,1.2735901629555076e-03
-5.4112178158762569e-01,-1.0653449238876225e+00,-5.6101660193248959e+00,1.2614279031353235e-03
5.2653074035998726e-01,-1.0575558429053575e+00,-5.6201660193248966e+00,1.2586420689564635e-03
5.1852229043050846e-01,-1.0533712154699897e+00,-5.6301660193248981e+00,1.2513438379341483e-03
5.0909464163985407e-01,-1.0485272097065452e+00,-5.6401660193248970e+00,1.2449085208033448e-03
-5.0893002227998896e-01,-1.0484434164222944e+00,-5.6501660193248862e+00,1.2326247554035894e-03
-5.0854190887811102e-01,-1.0482459691760360e+00,-5.6601660193248939e+00,1.2206009146605531e-03
-5.0506702828616390e-01,-1.0464848841642478e+00,-5.6701660193248991e+00,1.2105858009771044e-03
4.9898970992771580e-01,-1.0434338979402125e+00,-5.6801660193248944e+00,1.2022025848459129e-03
-4.9837180571875528e-01,-1.0431257610010258e+00,-5.6901660193249093e+00,1.1906072828260946e-03
4.9793617063511608e-01,-1.0429087476467211e+00,-5.7001660193248957e+00,1.1790163769605240e-03
-4.8647883124089158e-01,-1.0372693592560913e+00,-5.7101660193248964e+00,1.1738863376429573e-03
-4.7735666388877585e-01,-1.0328732249128503e+00,-5.7201660193248935e+00,1.1673264338870717e-03
4.6747708929097631e-01,-1.0282059471393212e+00,-5.7301660193249049e+00,1.1611179749739088e-03
-4.6381266739873628e-01,-1.0264996278531049e+00,-5.7401660193248940e+00,1.1515278568786029e-03
4.6351391045293655e-01,-1.0263611052250259e+00,-5.7501660193249133e+00,1.1402278996863113e-03
-4.5625324947532409e-01,-1.0230220464617357e+00,-5.7601660193248856e+00,1.1326581474753652e-03
-4.5504392838658103e-01,-1.0224710210140855e+00,-5.7701660193248978e+00,1.1220060942074034e-03
-4.5122821788826706e-01,-1.0207419849426502e+00,-5.7801660193248940e+00,1.1127642942566128e-03
-4.4307044693914638e-01,-1.0170942431087668e+00,-5.7901660193249018e+00,1.1057181313976316e-03
-4.3934148837027509e-01,-1.0154490043350437e+00,-5.8001660193249007e+00,1.0965186038662835e-03
4.3609053970108513e-01,-1.0140260120417313e+00,-5.8101660193248863e+00,1.0871539730149689e-03
4.3206787546132452e-01,-1.0122798571361709e+00,-5.8201660193248959e+00,1.0782177025565397e-03
-4.2198584000665373e-01,-1.0079745572164001e+00,-5.8301660193249027e+00,1.0720950260687473e-03
-4.1624605462303488e-01,-1.0055689216279606e+00,-5.8401660193248812e+00,1.0639839838454174e-03
-4.1211361788132395e-01,-1.0038573496549563e+00,-5.8501660193249023e+00,1.0552016752171285e-03
-4.0776966596249009e-01,-1.0020765828729199e+00,-5.8601660193249074e+00,1.0465642715993941e-03
-3.9994164993874948e-01,-9.9891519431120412e-01,-5.8701660193248939e+00,1.0394316416405471e-03
-3.9986124056875949e-01,-9.9888303848793314e-01,-5.8801660193248937e+00,1.0291222157398931e-03
3.9960109251649389e-01,-9.9877904920352722e-01,-5.8901660193248944e+00,1.0189882369490723e-03
3.9859688049368036e-01,-9.9837826920298611e-01,-5.9001660193248942e+00,1.0092535421743157e-03
3.9663549868984105e-01,-9.9759839204380896e-01,-5.9101660193248859e+00,9.9999086765514226e-04
3.9645574715826903e-01,-9.9752711236075009e-01,-5.9201660193248999e+00,9.9011136458169091e-04
3.9623784511335225e-01,-9.9744074758337598e-01,-5.9301660193249086e+00,9.8034425545460145e-04
3.9516012858482052e-01,-9.9701429624492544e-01,-5.9401660193248942e+00,9.7100366466105407e-04
-3.9000152339491317e-01,-9.9498912675851603e-01,-5.9501660193249002e+00,9.6329086999884239e-04
-3.8956842908470968e-01,-9.9482031310310370e-01,-5.9601660193248973e+00,9.5386697787485004e-04
3.8738733162113892e-01,-9.9397300498361263e-01,-5.9701660193248847e+00,9.4517635927747392e-04
3.8702900959800490e-01,-9.9383425976854578e-01,-5.9801660193249111e+00,9.3590154021901616e-04
3.8434629109866075e-01,-9.9279956837398764e-01,-5.9901660193249064e+00,9.2754839430195940e-04
-3.7235167480909170e-01,-9.8826141749990726e-01,-6.0001660193248911e+00,9.2249607497822217e-04
3.7221780259022191e-01,-9.8821157891588618e-01,-6.0101660193249042e+00,9.1336260523105432e-04
-3.7059955464574018e-01,-9.8761054758514999e-01,-6.0201660193248863e+00,9.0481815612726796e-04
3.6928576658700130e-01,-9.8712452133521411e-01,-6.0301660193249038e+00,8.9625056050625525e-04
-3.6243977579892339e-01,-9.8461982817392635e-01,-6.0401660193248912e+00,8.8955800027922069e-04
-3.6210454648863677e-01,-9.8449838392721012e-01,-6.0501660193248936e+00,8.8081371354945383e-04
3.6173703953410341e-01,-9.8436537551878822e-01,-6.0601660193249005e+00,8.7216546828993542e-04
-3.5106848263785556e-01,-9.8056307238416263e-01,-6.0701660193248959e+00,8.6677676711818395e-04
3.4347114250211608e-01,-9.7792474549919395e-01,-6.0801660193248939e+00,8.6041926951616130e-04
3.4056659383854804e-01,-9.7693133505273477e-01,-6.0901660193248954e+00,8.5270461980352331e-04
-3.3622116821124504e-01,-9.7546086961000666e-01,-6.1001660193248943e+00,8.4546237667113174e-04
3.3521330797686355e-01,-9.7512251355573520e-01,-6.1101660193249021e+00,8.3733315428105451e-04
3.3483354201332849e-01,-9.7499528306193517e-01,-6.1201660193248895e+00,8.2910703117528321e-04
-3.3218935111459080e-01,-9.7411341513030592e-01,-6.1301660193249070e+00,8.2158148536611117e-04
3.2786270825763286e-01,-9.7268551036635431e-01,-6.1401660193248890e+00,8.1456890980294511e-04
3.1916839023354082e-01,-9.6987276329547434e-01,-6.1501660193248942e+00,8.0873538563845768e-04
-3.1791457426321490e-01,-9.6947337089782004e-01,-6.1601660193248957e+00,8.0100818680106992e-04
-3.1577751396358150e-01,-9.6879625179584938e-01,-6.1701660193249035e+00,7.9357518520867081e-04
3.1253485713882151e-01,-9.6777755109673125e-01,-6.1801660193248864e+00,7.8647975971780362e-04
3.1058857610222385e-01,-9.6717116443594287e-01,-6.1901660193249004e+00,7.7912646403523016e-04
3.1055990701449687e-01,-9.6716226055576593e-01,-6.2001660193248940e+00,7.7138089444013904e-04
-3.0633133712919292e-01,-9.6585797668701912e-01,-6.2101660193249044e+00,7.6470226496994466e-04
3.0542049214214451e-01,-9.6557937114351433e-01,-6.2201660193248891e+00,7.5730431009138105e-04
-3.0402241494568127e-01,-9.6515334702804145e-01,-6.2301660193249182e+00,7.5008849403110356e-04
3.0053650071547899e-01,-9.6409962676449201e-01,-6.2401660193248949e+00,7.4340792023451529e-04
-2.9723430118263594e-01,-9.6311264753310444e-01,-6.2501660193249009e+00,7.3673767389873782e-04
2.9482074865455038e-01,-9.6239816955195423e-01,-6.2601660193249007e+00,7.2992834302700006e-04
-2.9414514850626761e-01,-9.6219921682822662e-01,-6.2701660193248960e+00,7.2280922522254790e-04
-2.9396286876491773e-01,-9.6214561673958954e-01,-6.2801660193248861e+00,7.1565551143479224e-04
2.9206231687735962e-01,-9.6158873110322507e-01,-6.2901660193248929e+00,7.0892930275684397e-04
2.9164759525673262e-01,-9.6146769254285691e-01,-6.3001660193249061e+00,7.0196029745638901e-04
-2.9054430937379078e-01,-9.6114653048808596e-01,-6.3101660193248987e+00,6.9519891145676689e-04
2.8890968867740968e-01,-9.6067293673917831e-01,-6.3201660193248861e+00,6.8860760975774597e-04
-2.8349072371492401e-01,-9.5912202784954514e-01,-6.3301660193249081e+00,6.8281401111067099e-04
-2.8252511989011120e-01,-9.5884875431780037e-01,-6.3401660193248830e+00,6.7620466177119472e-04
2.8049345487264815e-01,-9.5827682174653661e-01,-6.3501660193249094e+00,6.6985931779206889e-04
-2.7844831492039201e-01,-9.5770526467434236e-01,-6.3601660193248941e+00,6.6357326784295646e-04
2.7826451843012645e-01,-9.5765410374191451e-01,-6.3701660193248877e+00,6.5700421559677447e-04
2.7627454659693679e-01,-9.5710234518201098e-01,-6.3801660193248928e+00,6.5082591414352970e-04
2.7592638562494759e-01,-9.5700621777536310e-01,-6.3901660193248988e+00,6.4441203077753712e-04
