cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.9126905675412559e+01,4.6492896640988270e+01,-3.0011405929804308e+01,-6.2156079317555371e+00,1.8484503258351443e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.7006072271626856e+01,4.7326798854408800e+01,-2.9383178034307193e+01,-6.2176079317555306e+00,3.4576028181924471e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.5700151014251908e+01,4.8543633301449660e+01,-2.9361135117407013e+01,-6.2196079317555304e+00,3.5276024189124831e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.4179424924814313e+01,4.9630232069466430e+01,-2.9211102043033794e+01,-6.2216079317555382e+00,4.0904357843326991e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5568107993867812e+01,4.8331556330931406e+01,-2.9198153450805776e+01,-6.2236079317555433e+00,4.1354663586449063e-16,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.6046419121925311e+01,4.7571184967829652e+01,-2.9052646199229159e+01,-6.2256079317554924e+00,4.7736315998775230e-16,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.8181066735800414e+01,4.4455254263770158e+01,-2.8624618550532340e+01,-6.2276079317555357e+00,7.3092086027036126e-16,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9863089668316945e+01,-4.1367363681973920e+01,-2.8124126879588356e+01,-6.2296079317555479e+00,1.2032684752823643e-15,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5150226987168111e+01,4.6430990040893846e+01,-2.8108093599103739e+01,-6.2316079317555442e+00,1.2202733170847000e-15,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7593998809351667e+01,-4.3804183333096461e+01,-2.8056170433972270e+01,-6.2336079317554800e+00,1.2827395050224158e-15,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.9610600889619036e+01,-4.0356098669977925e+01,-2.7585326535702116e+01,-6.2356079317555579e+00,2.0500043753251896e-15,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
