cmpt_0,logl,logv,weight
3.1339622663709754e+00,-5.8297982761518892e+00,-4.6101660193249021e+00,2.9240252272284915e-05
-2.7750802745484662e+00,-4.7694737977273345e+00,-4.6201660193248868e+00,8.3585556908437531e-05
-2.6018688885466625e+00,-4.3037993892268620e+00,-4.6301660193248999e+00,1.3183421014299485e-04
-2.3412404795812027e+00,-3.6596420242481495e+00,-4.6401660193248961e+00,2.4856453608899785e-04
-2.3256334631265019e+00,-3.6232240350402227e+00,-4.6501660193249013e+00,2.5521861806230271e-04
2.2957541481145971e+00,-3.5541820869260290e+00,-4.6601660193248975e+00,2.7074094785040721e-04
-2.1614929775884022e+00,-3.2549644787153280e+00,-4.6701660193249008e+00,3.6154266614221297e-04
-2.0789856136878218e+00,-3.0800291235938038e+00,-4.6801660193248891e+00,4.2637336882316967e-04
-2.0034481848888150e+00,-2.9258408474004831e+00,-4.6901660193248995e+00,4.9250454610465504e-04
1.9486265060973651e+00,-2.8175111627659515e+00,-4.7001660193248913e+00,5.4339330474528194e-04
1.8897161799175537e+00,-2.7044521529544356e+00,-4.7101660193249000e+00,6.0238235548004334e-04
-1.8767893089802641e+00,-2.6801075877846481e+00,-4.7201660193248962e+00,6.1108554090576314e-04
-1.8561096045735637e+00,-2.6415099647284550e+00,-4.7301660193248987e+00,6.2881341420515725e-04
1.7803850598951514e+00,-2.5038240133822702e+00,-4.7401660193249038e+00,7.1445536506962244e-04
1.7741877626969174e+00,-2.4928096412850858e+00,-4.7501660193248929e+00,7.1518045635064862e-04
1.7646124849758711e+00,-2.4758671436996988e+00,-4.7601660193248980e+00,7.2016287012782157e-04
-1.7131932486673098e+00,-2.3864540862729648e+00,-4.7701660193248987e+00,7.7968535897051771e-04
1.6258487238016086e+00,-2.2406305689769992e+00,-4.7801660193248923e+00,8.9311376543186032e-04
1.6126538289243757e+00,-2.2192647186055643e+00,-4.7901660193248956e+00,9.0332266939106517e-04
-1.6076344265778537e+00,-2.2111827573924918e+00,-4.8001660193248954e+00,9.0159172201682456e-04
-1.5905855894696845e+00,-2.1839197913476514e+00,-4.8101660193248987e+00,9.1729098736640551e-04
1.5712179918604996e+00,-2.1533015216064100e+00,-4.8201660193249003e+00,9.3640026351817483e-04
1.5285622164459887e+00,-2.0871897574064762e+00,-4.8301660193249010e+00,9.9044543990362867e-04
-1.4799799812422898e+00,-2.0141089050723036e+00,-4.8401660193248999e+00,1.0549362669031858e-03
-1.4526498648471904e+00,-1.9740343475536197e+00,-4.8501660193248908e+00,1.0871449110678652e-03
-1.4312009680045721e+00,-1.9431066380419515e+00,-4.8601660193248915e+00,1.1101361013263354e-03
1.4188857282068197e+00,-1.9255568874878379e+00,-4.8701660193248957e+00,1.1185490699189330e-03
-1.3983986846930461e+00,-1.8966979733089602e+00,-4.8801660193249008e+00,1.1398438579878368e-03
-1.3871204261393701e+00,-1.8809900709398732e+00,-4.8901660193249050e+00,1.1463685789657044e-03
1.3209601923072449e+00,-1.7914064474635363e+00,-4.9001660193248906e+00,1.2413292883894649e-03
1.3063991981016105e+00,-1.7722779650336049e+00,-4.9101660193248922e+00,1.2527126182045286e-03
1.2977441495797106e+00,-1.7610084715175227e+00,-4.9201660193249026e+00,1.2543039386226013e-03
-1.2947799051656221e+00,-1.7571660340436881e+00,-4.9301660193248953e+00,1.2466042137905457e-03
1.2924503686761397e+00,-1.7541525103788842e+00,-4.9401660193248880e+00,1.2379251961297929e-03
1.2118478913258632e+00,-1.6532261884888100e+00,-4.9501660193249064e+00,1.3557612045464425e-03
