cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.45182333598279e+00,-4.13782539554196e+00,4.94652583045622e+00,-2.85936191845347e+00,4.81798092816302e+00,-4.45739152969792e+00,-6.18464701278154e+01,-6.90825523731550e+00,1.38102699917753e-30,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
4.41462774226074e+00,-4.99130345174825e+00,-4.43951264894414e+00,-3.93694597178466e+00,-3.83571349665376e+00,-4.24357992756306e+00,-6.16793977083433e+01,-6.90925523731545e+00,1.63052140520658e-30,1.35914091422952e+00,8.90000000000000e-01,9.00000000000000e-02
-1.57122272808235e+00,-4.86192940199811e+00,4.95702183390641e+00,-4.88104628516310e+00,4.35875668249009e+00,-3.86985199093206e+00,-5.97527766557293e+01,-6.91025523731548e+00,1.11844105865499e-29,5.00000000000000e-01,8.55000000000000e-01,-3.50000000000000e-02
-4.44636697962662e+00,3.59485575037096e+00,-4.84711163431297e+00,-4.13393117144901e+00,3.87227517614513e+00,4.44070396526547e+00,-5.95093372238868e+01,-6.91125523731546e+00,1.42528990569951e-29,1.35914091422952e+00,8.80000000000000e-01,2.50000000000000e-02
-2.12337716369569e+00,-4.34832612556453e+00,-4.80466107843369e+00,3.87480726201475e+00,-4.38883131515572e+00,4.80742965296936e+00,-5.74580263213449e+01,-6.91225523731547e+00,1.10749537313575e-28,5.00000000000000e-01,8.20000000000000e-01,-6.00000000000001e-02
4.94508942855577e+00,-4.34226739760655e+00,4.99793458843473e+00,-4.98195984227945e+00,-2.27304972922012e+00,-2.25983397849386e+00,-5.72046683512756e+01,-6.91325523731548e+00,1.42540932094428e-28,1.35914091422952e+00,8.46000000000000e-01,2.60000000000000e-02
-3.36471455167532e+00,-4.35660369909083e+00,3.79783413418527e+00,4.06949712928176e+00,-4.18702742483723e+00,4.86020319965554e+00,-5.67328434955420e+01,-6.91425523731546e+00,2.28252861699772e-28,1.45963463262211e+00,8.46666666666667e-01,6.66666666666704e-04
9.21347095326824e-01,-3.70508532114302e+00,4.72419863359738e+00,-3.98352569153516e+00,-4.92079232933142e+00,4.95217369310144e+00,-5.62642755992368e+01,-6.91525523731550e+00,3.64316120360087e-28,5.36969572963507e-01,8.12857142857143e-01,-3.38095238095238e-02
4.49168854850362e+00,2.36239105110249e+00,4.78192136812492e+00,2.19663083552153e+00,4.89956320070111e+00,4.89848658283720e+00,-5.62381346225410e+01,-6.91625523731543e+00,3.73591490837692e-28,1.45963463262211e+00,8.31250000000000e-01,1.83928571428572e-02
-3.36746935673574e+00,-4.69547003166824e+00,-4.59988780311114e+00,-4.94241796755069e+00,-4.66933889751296e+00,-4.66753088526919e-01,-5.60107992155522e+01,-6.91725523731554e+00,4.68482307560489e-28,5.36969572963507e-01,8.13333333333333e-01,-1.79166666666667e-02
3.04506682747893e+00,4.52804416375495e+00,-3.00068408724263e+00,-4.42478437055193e+00,-4.70001948404273e+00,-4.52355787272672e+00,-5.59692295099645e+01,-6.91825523731545e+00,4.87879301632688e-28,1.45963463262211e+00,8.29000000000000e-01,1.56666666666666e-02
-4.90917968025267e+00,-4.67626115252207e+00,3.36981765680491e+00,-4.77117576271197e+00,-4.08004975499164e+00,-1.13274011482047e+00,-5.45222106304640e+01,-6.91925523731542e+00,2.07162151884063e-27,3.05930006469862e+00,8.36363636363636e-01,7.36363636363635e-03
3.08661604527362e+00,-2.74591178725931e+00,4.58805437859074e+00,-4.87707188844707e+00,3.66924854901712e+00,-4.74719608373553e+00,-5.44649106519174e+01,-6.92025523731549e+00,2.19159945412564e-27,1.12545359817708e+00,8.06666666666667e-01,-2.96969696969697e-02
-3.41088489378460e+00,4.95573838087269e+00,-3.56651783670466e+00,4.88484079628376e+00,1.31429925702092e+00,4.83404714362891e+00,-5.44489272291530e+01,-6.92125523731546e+00,2.22468435886522e-27,1.45574745880372e+00,8.09230769230769e-01,2.56410256410255e-03
2.69153647492174e+00,-4.02751389812138e+00,2.57656032771902e+00,4.41255868792487e+00,-4.66897681431078e+00,-4.93462805227669e+00,-5.33758674953198e+01,-6.92225523731547e+00,6.49917196121211e-27,1.18227738180397e+00,8.07142857142857e-01,-2.08791208791204e-03
3.83717938151976e+00,4.66017340009949e+00,4.39127856629995e+00,4.13565900726408e+00,3.70174878221842e+00,2.84021277485444e+00,-5.28125898204335e+01,-6.92325523731551e+00,1.14038663691646e-26,1.92390475762455e+00,8.12000000000000e-01,4.85714285714289e-03
