cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
3.30958231847587e+00,-4.76331313921559e+00,-2.73829050842533e+00,-4.65128097238048e+00,-4.56796787840181e+00,-4.90755348537924e+00,-5.93764054595608e+01,-6.90825523731550e+00,1.63281741788489e-29,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
-4.56273625428800e+00,4.53768340309267e+00,-4.37822338453469e+00,4.47965428120554e+00,-1.52310345476445e+00,-4.79205976831618e+00,-5.84781093127681e+01,-6.90925523731545e+00,4.00523856983011e-29,1.35914091422952e+00,9.60000000000000e-01,1.60000000000000e-01
-4.57530217847516e+00,5.73527432920096e-02,-3.88749870660954e+00,4.88562334953518e+00,4.61868480035785e+00,-4.52578315323629e+00,-5.63804329478555e+01,-6.91025523731548e+00,3.25989314965602e-28,5.00000000000000e-01,9.00000000000000e-01,-5.99999999999999e-02
1.08451525506708e+00,-4.36632515640323e+00,4.41841414545820e+00,3.32132703869878e+00,4.99711967515878e+00,4.95698627833382e+00,-5.56823729858692e+01,-6.91125523731546e+00,6.54534677170790e-28,1.35914091422952e+00,9.16666666666667e-01,1.66666666666666e-02
4.39192221129771e+00,3.83251933908866e+00,4.38873117457999e+00,4.14906794978864e+00,-3.79923936657187e+00,-3.79824626676015e+00,-5.51705341141696e+01,-6.91225523731547e+00,1.09090558076697e-27,5.00000000000000e-01,9.02500000000000e-01,-1.41666666666667e-02
-4.71644759592164e+00,2.99131710437969e+00,4.71008893105167e+00,3.07998758614617e+00,4.80909820113791e+00,3.36808461753295e+00,-5.41813995519548e+01,-6.91325523731548e+00,2.93041110356014e-27,2.63540774625602e-01,8.96000000000000e-01,-6.49999999999995e-03
4.82226356012618e+00,-9.87743292252518e-01,4.57299369999237e+00,3.25970729015063e+00,-4.76144914395057e+00,4.30752525727544e+00,-5.40106299182177e+01,-6.91425523731546e+00,3.47263042836790e-27,7.16378098722795e-01,9.08333333333333e-01,1.23333333333333e-02
2.17606514406609e+00,-4.81138129994032e+00,4.49929285804823e+00,-3.58469167552709e+00,3.63919698935188e+00,-4.65397304275646e+00,-5.34543911786618e+01,-6.91525523731550e+00,6.05056160412067e-27,3.62808361492766e-01,9.01428571428571e-01,-6.90476190476186e-03
3.38815800166015e+00,-4.22521249838620e+00,2.82557861262271e+00,4.68763357572986e+00,-4.25166991349480e+00,-4.20737822450707e+00,-5.30479146530633e+01,-6.91625523731543e+00,9.07594603011599e-27,4.08000182713684e-01,9.02500000000000e-01,1.07142857142850e-03
3.40256736124892e+00,4.67465701403443e+00,4.34493653686111e+00,4.09552891784343e+00,-3.47583526344352e+00,-3.66842530201521e+00,-5.28238754198015e+01,-6.91725523731554e+00,1.13437491181033e-26,8.73289942097672e-01,9.10000000000000e-01,7.50000000000006e-03
-4.06283073475157e+00,2.58747387839602e+00,4.85049535997767e+00,-4.95615868351208e+00,-4.55433293184705e+00,4.89368920558646e-01,-5.16505607850281e+01,-6.91825523731545e+00,3.66341728234158e-26,3.58657402490193e-01,9.01000000000000e-01,-9.00000000000001e-03
-4.41541304855687e+00,-1.12418952709180e+00,4.73581599904697e+00,-1.09956702452733e-01,-4.89406884588211e+00,-4.99815967242781e+00,-5.15802452531752e+01,-6.91925523731542e+00,3.92635662066627e-26,4.71711524687595e-01,9.03636363636364e-01,2.63636363636366e-03
-4.59556581497321e+00,4.33324115484203e+00,3.41379895135321e+00,-4.75933012583849e+00,4.22617610414952e+00,-2.10087750431531e-01,-5.15667071552535e+01,-6.92025523731549e+00,3.97589557762311e-26,7.62725288570472e-01,9.08333333333333e-01,4.69696969696964e-03
-4.30696476642103e+00,-3.97280589636159e+00,-2.80937235868277e+00,3.13074200363904e+00,4.49255907188954e+00,4.42435454407742e+00,-5.14062566350769e+01,-6.92125523731546e+00,4.66319364734402e-26,9.83939677607470e-01,9.10769230769231e-01,2.43589743589745e-03
4.77717533047403e+00,-2.00621557278908e+00,-4.92697850661466e+00,4.16087781667213e+00,-2.04278373381556e+00,-4.33157119138515e+00,-5.11985316166437e+01,-6.92225523731547e+00,5.73406993472652e-26,6.44285219193701e-01,9.06428571428571e-01,-4.34065934065930e-03
-4.91761961755034e+00,-4.60137821501794e+00,2.55492081285370e+00,1.34452906875207e+00,4.75247242813944e+00,3.88217514861569e+00,-5.11877917067924e+01,-6.92325523731551e+00,5.79019212784962e-26,5.10649973509708e-01,9.04000000000000e-01,-2.42857142857145e-03
-3.54743772006643e+00,2.86052387914755e+00,4.91806577070691e+00,4.55074339024555e+00,-3.90554847405632e+00,3.04681032339238e+00,-5.06135859956601e+01,-6.92425523731546e+00,1.02714806394654e-25,6.46329458947562e-01,9.06250000000000e-01,2.24999999999997e-03
4.62535530296219e+00,-3.54254314165303e+00,-3.63490369620853e+00,4.24101235677655e+00,-2.99790822971508e+00,-3.93808992515793e+00,-5.03327513420895e+01,-6.92525523731551e+00,1.35882552956693e-25,6.67817714960126e-01,9.06470588235294e-01,2.20588235294139e-04
4.73456399714400e+00,-3.57386093484708e+00,1.53157521337807e+00,-4.89456193904911e+00,-2.98072554573742e+00,-4.34923248362459e+00,-5.01594239006637e+01,-6.92625523731541e+00,1.61437548754781e-25,5.21252312080791e-01,9.03888888888889e-01,-2.58169934640529e-03
4.73983945658594e+00,2.25478998936992e+00,-2.90246804386104e+00,-4.51343947201349e+00,-4.93847565190896e+00,2.91560288404616e+00,-5.01310784585459e+01,-6.92725523731543e+00,1.65913043202666e-25,6.04370502811887e-01,9.05263157894737e-01,1.37426900584803e-03
3.10250227161195e+00,-1.51654095971920e+00,-4.83888586384921e+00,-4.31450407942340e+00,4.90925349065421e+00,3.33100206415099e+00,-5.00893928305315e+01,-6.92825523731549e+00,1.72802520586711e-25,6.25418881502908e-01,9.05500000000000e-01,2.36842105263091e-04
3.69050155872789e+00,2.43389304564987e+00,4.77945351787825e+00,-4.01886302376350e+00,2.76294238615517e+00,4.79009501797402e+00,-5.00720981740003e+01,-6.92925523731550e+00,1.75641344323835e-25,5.33657885069854e-01,9.03809523809524e-01,-1.69047619047613e-03
-2.63923299527282e+00,4.24061041066043e+00,-4.04458832227311e+00,4.23565800729143e+00,-3.68462358801802e+00,4.01992389162268e+00,-5.00056611905780e+01,-6.93025523731546e+00,1.87519170517817e-25,5.29960559654695e-01,9.03636363636364e-01,-1.73160173160158e-04
-1.02810707326633e+00,-4.14657601042573e+00,-4.31262311140108e+00,4.36319852543161e+00,-4.40205734836807e+00,-3.67312935222590e+00,-4.98922833828813e+01,-6.93125523731545e+00,2.09821861182809e-25,6.84350745643365e-01,9.06086956521739e-01,2.45059288537541e-03
4.94877529498001e+00,-4.19522014046870e+00,-8.34520471480265e-01,3.97325279655341e+00,-3.90204159154627e+00,-3.78218267634815e+00,-4.95657539604315e+01,-6.93225523731544e+00,2.90553670997860e-25,7.96737225610213e-01,9.07500000000000e-01,1.41304347826088e-03
-3.54502988992027e+00,4.14603007811255e+00,-3.57363075907090e+00,-2.19785168996274e+00,4.05181985040220e+00,4.90963105305212e+00,-4.94535873755494e+01,-6.93325523731557e+00,3.24717280625431e-25,5.90497215450497e-01,9.04400000000000e-01,-3.09999999999999e-03
-4.84191369748279e+00,4.19638423867151e+00,1.94153195212810e+00,-2.04915670840751e+00,-4.82911780777271e+00,3.84196857990670e+00,-4.90653611155630e+01,-6.93425523731542e+00,4.78272741156232e-25,3.16861547579779e-01,8.98076923076923e-01,-6.32307692307688e-03
4.52654137702416e+00,3.64810783216152e-03,4.50654535837593e+00,-4.81575479028636e+00,-3.67720157275697e+00,-3.06705675723789e+00,-4.89729731821366e+01,-6.93525523731544e+00,5.24040562872552e-25,3.34446295817565e-01,8.98518518518518e-01,4.41595441595388e-04
4.80588757449869e+00,-2.20430953005082e+00,4.81522374288803e+00,4.54598216035525e+00,1.72439964832922e+00,-3.40606960927103e+00,-4.87049980506462e+01,-6.93625523731548e+00,6.84401150381247e-25,3.51909649187755e-01,8.98928571428571e-01,4.10052910052916e-04
-3.92697553108198e+00,-1.86939831249033e+00,4.76837911502232e+00,4.55246165362061e+00,-2.01193016134381e+00,-4.46172216573691e+00,-4.86801117073392e+01,-6.93725523731548e+00,7.00945800179517e-25,4.23922986918475e-01,9.00689655172414e-01,1.76108374384243e-03
-4.08078546194390e+00,-9.88313471607494e-02,2.63636249415083e+00,-4.42371828149378e+00,-4.58696718405265e+00,4.60975489835619e+00,-4.82498194091383e+01,-6.93825523731549e+00,1.07677190180358e-24,4.88229844045000e-01,9.02000000000000e-01,1.31034482758619e-03
