cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,cmpt_6,cmpt_7,cmpt_8,cmpt_9,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.99342378184856e+00,-8.33701766001207e+00,8.93301439143449e+00,9.32813469671739e+00,-6.48982363153988e+00,-6.54873146103587e+00,9.45918497756137e+00,8.99821621123449e-01,-8.94961793391913e+00,-8.88567610732408e+00,-3.06986106586522e+02,-6.90825523731550e+00,4.75785014660812e-137,5.00000000000000e-01,5.00000000000000e-01,5.00000000000000e-01
9.63216547324615e+00,-4.17832878733437e+00,-7.89927477933053e+00,-6.77382686086048e+00,-7.03196676174274e+00,8.45112819987390e+00,9.35462794132416e+00,-8.00346202080769e+00,8.53294558590968e+00,-2.73610886306956e+00,-2.94815565451374e+02,-6.90925523731545e+00,9.17435036496088e-132,1.35914091422952e+00,9.60000000000000e-01,4.60000000000000e-01
-6.88896910687673e+00,9.32551026847737e+00,-2.96060388295397e+00,9.50537785185553e+00,3.93856601444503e+00,9.98435498230937e+00,-6.42329871040903e+00,-7.68062222129767e+00,6.42916756504799e+00,-8.34344902822670e+00,-2.89158449596188e+02,-6.91025523731548e+00,2.62418970013647e-129,5.00000000000000e-01,7.22500000000000e-01,-2.37500000000000e-01
9.97919951771175e+00,9.80034765318398e+00,-8.57368829854645e+00,9.62546077655802e+00,-3.30943337794074e+00,6.79034351192134e+00,-4.44103048599938e+00,-1.53108792890501e+00,-9.88151850444118e+00,4.60286883361180e+00,-2.89063269880753e+02,-6.91125523731546e+00,2.88334730567652e-129,3.92736838364129e-01,6.98333333333333e-01,-2.41666666666667e-02
-3.04054528432573e+00,-9.03915588223815e+00,-5.57127435681714e+00,-9.07803784652654e+00,-1.95619833432129e+00,9.31721894412346e+00,-8.07545348947741e+00,8.88665775172716e+00,-6.60447452142818e+00,8.63056946693430e+00,-2.87854311652376e+02,-6.91225523731547e+00,9.64953865600865e-129,8.24748863204009e-01,7.72500000000000e-01,7.41666666666666e-02
5.35069731242510e+00,-2.32174692643412e+00,4.17030091092562e+00,9.89430816815537e+00,-4.88116660468298e+00,9.66276282941748e+00,-9.94593596295670e+00,9.55106220290119e+00,-4.54880974251857e+00,8.87967620287701e+00,-2.87283754415550e+02,-6.91325523731548e+00,1.70554080883284e-128,9.25526654545016e-01,7.84000000000000e-01,1.15000000000001e-02
-3.77154770242618e+00,8.04105015552840e+00,6.49272299195645e+00,-9.22537954975867e+00,-7.86196276109471e+00,-7.94835902605673e+00,-9.21062345698995e+00,-6.50342869541868e+00,5.91330905832422e+00,-7.92997650002029e+00,-2.87246850126186e+02,-6.91425523731546e+00,1.76788963696643e-128,7.84958171583341e-01,7.67500000000000e-01,-1.65000000000001e-02
7.72809285180483e+00,8.86416902784357e+00,-7.04635425624191e+00,7.95359451270202e+00,-7.33549826603204e-01,-8.51033964234403e+00,-2.87707034355987e+00,9.40267786227788e+00,8.31601368681261e+00,-8.09075553652847e+00,-2.86927363010376e+02,-6.91525523731550e+00,2.43092940530124e-128,7.54917361958142e-01,7.63571428571429e-01,-3.92857142857139e-03
-9.09402358050139e+00,-7.54549294466959e+00,2.72710195959042e+00,7.32631477800663e+00,-8.18217468489965e+00,-9.80112712530156e+00,5.22585931264146e+00,-8.59404967772292e+00,4.11547271622051e+00,8.56323357442788e+00,-2.86784964242636e+02,-6.91625523731543e+00,2.80014842102961e-128,7.15085508738114e-01,7.58125000000000e-01,-5.44642857142852e-03
9.94409681982233e+00,5.80307701525363e+00,-3.69420793869685e+00,8.54260450595355e+00,-1.56058241133263e+00,6.26344680264005e+00,-8.78662959747026e+00,-9.37197996201936e+00,8.80022955074788e+00,7.13492938316222e+00,-2.86309553975682e+02,-6.91725523731554e+00,4.50002382065076e-128,7.08841234461102e-01,7.57222222222222e-01,-9.02777777777808e-04
9.69257656959039e+00,7.29550585231527e+00,-8.91783888219338e+00,-4.68269158494604e+00,7.18239352887695e+00,6.68623909207001e+00,-6.35204466852052e+00,-1.93926965033950e+00,8.75420300621913e+00,-9.30360547186089e+00,-2.85299810478706e+02,-6.91825523731545e+00,1.23397552846629e-127,7.03920800406074e-01,7.56500000000000e-01,-7.22222222222291e-04
2.50585229580881e+00,1.60596783576003e+00,-6.62681763641366e+00,8.50308719036633e+00,9.74465580930014e+00,-8.82237563484918e+00,9.97328945678713e+00,2.91270744240645e+00,8.62426971773895e+00,8.28818706490014e+00,-2.83634735864467e+02,-6.91925523731542e+00,6.51635850533705e-127,7.70066411243880e-01,7.65454545454545e-01,8.95454545454555e-03
-6.75143101075154e+00,-7.53221502406970e+00,-9.69101017049606e+00,-4.70748179572842e+00,-5.19550056374193e+00,8.29758587320965e+00,-5.69457587052995e+00,-9.91870803272922e+00,9.48413510103421e+00,-3.17294897119718e+00,-2.81719731049784e+02,-6.92025523731549e+00,4.41821350568066e-126,7.92769865136927e-01,7.68333333333333e-01,2.87878787878781e-03
-8.09669364644074e+00,-8.19626296130448e+00,-8.20239413329837e+00,-8.09958904806378e+00,9.31627477784748e+00,7.55531004259403e+00,-3.61984071402451e+00,-4.06832904118354e+00,1.11173424007511e+00,-9.96110423651877e+00,-2.78993170821494e+02,-6.92125523731546e+00,6.74438674405976e-125,7.58183183172703e-01,7.63846153846154e-01,-4.48717948717947e-03
-8.95485286260407e+00,8.29800466147366e-01,-1.76388918594967e+00,-9.50140562865972e+00,-8.32671409697956e+00,-7.29069242113509e-01,-9.71037264270867e+00,-5.22823245613167e+00,8.71963119614363e+00,9.78500431772441e+00,-2.77957241010352e+02,-6.92225523731547e+00,1.89848326081750e-124,7.14292662742593e-01,7.57857142857143e-01,-5.98901098901095e-03
-5.41017133761541e+00,-7.48391705391383e+00,-6.75848954641518e+00,-4.42560396493061e-01,8.70340176825785e+00,9.48917158060806e+00,7.35709148808729e+00,-9.99506293666452e+00,5.43299770176758e+00,-7.47200955837003e+00,-2.77350414222061e+02,-6.92325523731551e+00,3.47947726704912e-124,7.01329164895534e-01,7.56000000000000e-01,-1.85714285714289e-03
-8.23500491811795e+00,7.11741331454386e+00,-7.55766290781723e+00,2.81277316732252e+00,-8.38939988313718e+00,-9.91139490640228e+00,-1.37642579241302e+00,4.69613196916499e+00,7.77564000073574e+00,9.94029319948643e+00,-2.76858799799808e+02,-6.92425523731546e+00,5.68309792929510e-124,6.88046487080603e-01,7.54062500000000e-01,-1.93750000000004e-03
-9.25116190761607e+00,-9.21038747043099e+00,4.54680482234755e+00,-8.88447870504002e+00,-2.89830687121230e-01,-5.13651161215375e+00,2.24146966964163e+00,-9.21410703193393e+00,8.88580948363380e+00,8.27100132410755e+00,-2.76080090864784e+02,-6.92525523731551e+00,1.23691495021485e-123,6.84561885986506e-01,7.53529411764706e-01,-5.33088235294077e-04
-7.66756490381576e+00,8.49226289396626e+00,7.36363980462792e+00,-3.18293477102998e-01,-8.74271452417662e+00,4.64313255208216e+00,4.24027860952439e+00,8.41434740284210e+00,-9.10227619131755e+00,8.86731839197453e+00,-2.75934531277116e+02,-6.92625523731541e+00,1.42929301060125e-123,6.70232864711619e-01,7.51388888888889e-01,-2.14052287581701e-03
-6.31546517960264e+00,7.23706414092371e+00,-7.13038992917603e+00,-4.68009080943169e+00,-8.20704725680101e+00,8.76118498833615e+00,7.72114514529752e+00,9.75616674942130e+00,-8.92681534199853e-01,-8.20297621905018e+00,-2.75191618619093e+02,-6.92725523731543e+00,3.00144122564965e-123,6.93228368012901e-01,7.54736842105263e-01,3.34795321637427e-03
-2.16084504846371e+00,-7.44797828352216e+00,-8.45945184047615e+00,7.78052019183772e+00,-2.81087245740809e-01,-7.04649073450683e+00,-7.23580999482896e+00,9.74939121197776e+00,-7.17498875267763e+00,9.54613531555239e+00,-2.75184001222718e+02,-6.92825523731549e+00,3.02136881359231e-123,6.53106238647348e-01,7.48750000000000e-01,-5.98684210526312e-03
-7.36384150369570e+00,-6.74129900205543e+00,4.74373228686353e+00,-6.83019404276046e+00,-9.61166631945380e+00,7.70906454164011e+00,-6.87607442033479e+00,6.02196937989446e+00,9.65137196331037e+00,-5.65230610774855e+00,-2.73830228275226e+02,-6.92925523731550e+00,1.16870679340951e-122,6.79041947813484e-01,7.52619047619048e-01,3.86904761904761e-03
2.55383215510143e+00,9.08672440286119e+00,6.97056759377435e-02,-9.21710035196713e+00,-9.52220422154316e+00,-3.84265749664639e+00,8.38756502348364e+00,-9.71751843798505e+00,-4.07195314075978e+00,-8.21038986518778e+00,-2.73320146545057e+02,-6.93025523731546e+00,1.94445078199725e-122,6.87720603263619e-01,7.53863636363636e-01,1.24458874458877e-03
-7.97204001497853e+00,9.33697634584198e+00,3.86826005628072e+00,7.68531326642974e+00,-5.48700563933811e+00,-8.82856211893508e+00,4.48179348025611e+00,7.32610880018351e+00,-9.51775713719155e+00,5.49439798534126e+00,-2.72861994435888e+02,-6.93125523731545e+00,3.07139443573727e-122,6.83760868083463e-01,7.53260869565217e-01,-6.02766798418974e-04
7.86132401903757e+00,3.15083927773906e+00,8.13309067469510e+00,5.66182052063879e+00,9.76187106124377e+00,-5.74964457948294e+00,7.68566169669964e+00,-8.12985875752961e+00,4.94525942011397e+00,-8.89013303008785e+00,-2.72658472117477e+02,-6.93225523731544e+00,3.76088382823894e-122,7.03221739581542e-01,7.56041666666667e-01,2.78079710144918e-03
8.31209723350048e+00,-9.07784587453819e+00,-4.03329515304312e+00,3.44243222775451e-01,-3.00465382312876e+00,7.66525736858921e+00,-6.24281911945332e+00,9.81152625712985e+00,-9.80281630665010e+00,7.55562591069603e+00,-2.71234316801056e+02,-6.93325523731557e+00,1.56084011866571e-121,7.10175835100323e-01,7.57000000000000e-01,9.58333333333394e-04
7.23413186515038e+00,9.21828517763045e+00,-9.14795718989997e-01,6.48096218413459e-01,1.79115336812373e+00,9.34190661714400e+00,9.78033323918838e+00,-9.65200865418284e+00,5.32859262285073e+00,-8.72814008973831e+00,-2.70407531877473e+02,-6.93425523731542e+00,3.56444776589875e-121,6.64881701869950e-01,7.50384615384615e-01,-6.61538461538458e-03
-9.95446433799994e+00,6.85452595379341e+00,-5.61682456902421e+00,-7.89108073156698e+00,-6.90376199483907e+00,-2.77160755944944e+00,9.94557548524901e+00,-9.28411940360409e+00,-6.03199788276766e+00,2.33789370297200e+00,-2.70288179356982e+02,-6.93525523731544e+00,4.01228802332262e-121,6.38404591506668e-01,7.46296296296296e-01,-4.08831908831908e-03
8.69004227306909e+00,9.55159540275206e+00,-9.86076930685626e+00,-9.46132843677326e+00,4.04041235642298e+00,-3.94057515122580e+00,-6.28655482659957e+00,5.69012832669186e+00,2.52853698696082e+00,7.52291901023508e+00,-2.69309646716622e+02,-6.93625523731548e+00,1.06642209120122e-120,6.32592250823477e-01,7.45357142857143e-01,-9.39153439153517e-04
8.76576074445759e+00,4.89079775928689e-01,6.73976486973439e+00,-8.17347390239102e+00,3.59144422531545e+00,9.20241696574503e+00,5.81141531961700e+00,6.24180383744328e+00,-9.57850746156967e+00,8.29233077200600e+00,-2.69256402431112e+02,-6.93725523731548e+00,1.12361761212982e-120,6.11223108955452e-01,7.41896551724138e-01,-3.46059113300490e-03
