cmpt_0,cmpt_1,logl,logl2,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.9748021420884058e+01,-4.8689047003598837e+01,-3.1363639100308781e+01,-7.1692631303235839e+00,-6.2156079317555371e+00,4.7812381914829566e-17,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.6171769436440087e+01,-4.9904542523684803e+01,-3.0247672720202040e+01,-7.1692631303235839e+00,-6.2176079317555306e+00,1.4565648718133025e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.8067220796833148e+01,4.8040324286844118e+01,-3.0227846796835070e+01,-7.1692631303235839e+00,-6.2196079317555304e+00,1.4827622884563583e-16,6.7244351168521433e+01,9.9009900990099009e-01,4.9009900990099009e-01
-4.6913099469672872e+01,-4.7885123380211311e+01,-2.9605314148199206e+01,-7.1692631303235839e+00,-6.2216079317555382e+00,2.7578169536951389e-16,7.3135612897526778e+00,7.6821192052980136e-01,-2.2188708937118873e-01
4.2292881601181698e+01,-4.8845951014211302e+01,-2.8009268256323320e+01,-7.1692631303235839e+00,-6.2236079317555433e+00,1.3578467959528224e-15,8.7459760748637336e+00,7.8606965174129351e-01,1.7857731211492145e-02
4.9196064144941879e+01,4.1862536435763275e+01,-2.7999817854196021e+01,-7.1692631303235839e+00,-6.2256079317554924e+00,1.3680010803904808e-15,1.1423812456811566e+01,8.1274900398406380e-01,2.6679352242770293e-02
4.8321717910475947e+01,4.2196295403250360e+01,-2.7713773271141701e+01,-7.1692631303235839e+00,-6.2276079317555357e+00,1.8173787069835318e-15,1.2778148032954350e+01,8.2392026578073085e-01,1.1171261796667054e-02
4.4142580816731524e+01,-4.6437996795458240e+01,-2.7661469370935123e+01,-7.1692631303235839e+00,-6.2296079317555479e+00,1.9111384129365083e-15,1.2006998759667971e+01,8.1766381766381768e-01,-6.2564481169131714e-03
-4.7087224271795101e+01,-4.2831284327657215e+01,-2.7394822467146525e+01,-7.1692631303235839e+00,-6.2316079317555442e+00,2.4901575859610727e-15,1.0633611304677348e+01,8.0548628428927682e-01,-1.2177533374540861e-02
4.8464007240247000e+01,4.1223064423409504e+01,-2.7376699624448221e+01,-7.1692631303235839e+00,-6.2336079317554800e+00,2.5306314047737405e-15,1.0340489609249262e+01,8.0266075388026603e-01,-2.8255304090107902e-03
4.5721720734364681e+01,4.4241347756008395e+01,-2.7375057424148316e+01,-7.1692631303235839e+00,-6.2356079317555579e+00,2.5297261075830470e-15,1.1173696334161635e+01,8.1037924151696605e-01,7.7184876367000221e-03
-4.6224439961102000e+01,-4.3029428319200704e+01,-2.7077347189225577e+01,-7.1692631303235839e+00,-6.2376079317555178e+00,3.4001558674180421e-15,1.0873218280387707e+01,8.0762250453720508e-01,-2.7567369797609764e-03
4.8719792704656420e+01,4.0086673768834046e+01,-2.7038992508419906e+01,-7.1692631303235839e+00,-6.2396079317555637e+00,3.5260418565465721e-15,1.0807801102670561e+01,8.0698835274542424e-01,-6.3415179178083481e-04
4.2008625825919921e+01,-4.6932600506934783e+01,-2.6973162603880208e+01,-7.1692631303235839e+00,-6.2416079317554871e+00,3.7584470718211334e-15,1.1974086845308941e+01,8.1720430107526887e-01,1.0215948329844626e-02
-4.9679597924920039e+01,3.8292646639681202e+01,-2.6808140616517839e+01,-7.1692631303235839e+00,-6.2436079317555402e+00,4.4239273692102206e-15,1.2706623782831972e+01,8.2310984308131241e-01,5.9055420060435404e-03
-4.9779209416670305e+01,-3.8048995724457015e+01,-2.6764673262194130e+01,-7.1692631303235839e+00,-6.2456079317555488e+00,4.6112326203802453e-15,1.3201448814721296e+01,8.2689747003994674e-01,3.7876269586343270e-03
-4.5040227212445863e+01,-4.3038382190423242e+01,-2.6540816477840249e+01,-7.1692631303235839e+00,-6.2476079317555122e+00,5.7566285681621269e-15,1.2824741391269649e+01,8.2397003745318353e-01,-2.9274325867632012e-03
4.8122746592188527e+01,3.8549185656522056e+01,-2.6145386705036792e+01,-7.1692631303235839e+00,-6.2496079317555679e+00,8.5316413010090135e-15,1.2649470225121132e+01,8.2256169212690955e-01,-1.4083453262739853e-03
-4.4579125764719073e+01,-4.2059073998386758e+01,-2.5917515230993871e+01,-7.1692631303235839e+00,-6.2516079317555011e+00,1.0693683415604428e-14,1.2919217734568958e+01,8.2463928967813538e-01,2.0775975512258293e-03
-3.9111262002281407e+01,4.7083973397144085e+01,-2.5869151264622168e+01,-7.1692631303235839e+00,-6.2536079317555178e+00,1.1201158366496079e-14,1.3876756852227420e+01,8.3175604626708732e-01,7.1167565889519446e-03
4.5116858620467539e+01,4.0946890511190503e+01,-2.5697088304825197e+01,-7.1692631303235839e+00,-6.2556079317555247e+00,1.3277623282366267e-14,1.4078605539364249e+01,8.3316683316683315e-01,1.4107868997458306e-03
-4.1965465485274585e+01,4.3871252332944543e+01,-2.5565129806535126e+01,-7.1692631303235839e+00,-6.2576079317555537e+00,1.5120306725444593e-14,1.3601468909748585e+01,8.2968601332064695e-01,-3.4808198461862006e-03
-4.1079585426411541e+01,4.4331507614596504e+01,-2.5400268964196158e+01,-7.1692631303235839e+00,-6.2596079317555580e+00,1.7794679336932491e-14,1.3794575393277919e+01,8.3106267029972747e-01,1.3766569790805150e-03
4.1574211778349181e+01,4.3525195760862978e+01,-2.5250483188314163e+01,-7.1692631303235839e+00,-6.2616079317554982e+00,2.0628740530691803e-14,1.3614172770910468e+01,8.2971329278887929e-01,-1.3493775108481820e-03
3.3271515092966062e+01,4.9911724985228915e+01,-2.5127064471164765e+01,-7.1692631303235839e+00,-6.2636079317555389e+00,2.3291861133871214e-14,1.3339671092474784e+01,8.2764363030807664e-01,-2.0696624808026476e-03
-4.4652186431100759e+01,-3.9411639025867508e+01,-2.4871669652167110e+01,-7.1692631303235839e+00,-6.2656079317554987e+00,3.0009044242809100e-14,1.3092321397724611e+01,8.2573940847322147e-01,-1.9042218348551687e-03
4.5951798285894995e+01,-3.7853883711907713e+01,-2.4858615822162871e+01,-7.1692631303235839e+00,-6.2676079317555704e+00,3.0342599250293637e-14,1.2967659051541235e+01,8.2475019215987699e-01,-9.8921631334447646e-04
-4.1305899700336838e+01,4.2336748975776786e+01,-2.4629082752712918e+01,-7.1692631303235839e+00,-6.2696079317555302e+00,3.8095101733491012e-14,1.2758780603777693e+01,8.2309400444115466e-01,-1.6561877187223351e-03
-4.4670190454665118e+01,-3.8278987054270289e+01,-2.4439728259037036e+01,-7.1692631303235839e+00,-6.2716079317555282e+00,4.5944778323503195e-14,1.2748816963249942e+01,8.2298358315488940e-01,-1.1042128626526093e-04
4.5656975076263393e+01,-3.6740006591077226e+01,-2.4308131720386477e+01,-7.1692631303235839e+00,-6.2736079317555271e+00,5.2302111482416874e-14,1.3369562441856415e+01,8.2770503101309445e-01,4.7214478582050523e-03
3.2385218093963452e+01,-4.8770720578215844e+01,-2.4273122116811720e+01,-7.1692631303235839e+00,-6.2756079317555047e+00,5.4057394667850091e-14,1.3339659020805348e+01,8.2744836775483011e-01,-2.5666325826434466e-04
3.6281799637916279e+01,-4.5737373580980417e+01,-2.4177576068512138e+01,-7.1692631303235839e+00,-6.2776079317555400e+00,5.9358325821340787e-14,1.3226460938812377e+01,8.2656350741457130e-01,-8.8486034025880844e-04
3.9623249790931666e+01,4.1951096023440137e+01,-2.3785676341064111e+01,-7.1692631303235839e+00,-6.2796079317555433e+00,8.7662316630229120e-14,1.3286423229029204e+01,8.2698313554028735e-01,4.1962812571605390e-04
