cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-3.67422411524389e+00,4.02907163847244e+00,-4.94465711274167e+00,4.55413608221536e+00,-4.93470558434526e+00,-4.87775545972973e+00,-6.70471052277985e+01,-6.90825523731550e+00,7.61368741919827e-33,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
-1.83819981192457e+00,4.49808154317804e+00,-4.29647598526874e+00,-3.76849874712228e+00,-4.93101224097511e+00,4.83367763639714e+00,-5.74897942107720e+01,-6.90925523731545e+00,1.07608898242983e-28,1.35914091422952e+00,9.40000000000000e-01,1.40000000000000e-01
4.18221761669506e+00,-2.29118154434079e+00,4.98821469702613e+00,4.68365027888419e+00,-3.12341804439349e+00,-4.85713879832737e+00,-5.69670614194508e+01,-6.91025523731548e+00,1.81315051297582e-28,5.00000000000000e-01,8.05000000000000e-01,-1.35000000000000e-01
4.70339430282005e+00,-4.59627984584786e+00,4.44417016469079e+00,1.70251290701349e+00,-4.68250532663984e+00,-3.72330094331031e+00,-5.63564967402443e+01,-6.91125523731546e+00,3.33552679453294e-28,1.35914091422952e+00,8.20000000000000e-01,1.49999999999999e-02
4.86218085067202e+00,4.51125706420088e+00,-3.79074676851123e+00,-4.66927753234443e+00,-3.28855874629806e+00,-2.94697680275768e+00,-5.53453549782121e+01,-6.91225523731547e+00,9.15932410505369e-28,5.00000000000000e-01,7.72500000000000e-01,-4.75000000000000e-02
2.94691791852256e+00,4.92572399420544e+00,4.77552086625148e+00,3.06049095717812e+00,-4.01819108489652e+00,4.08202378807157e+00,-5.44776633606485e+01,-6.91325523731548e+00,2.17902801539300e-27,1.35914091422952e+00,7.84000000000000e-01,1.15000000000001e-02
-4.83637509553373e+00,3.51378519101169e+00,2.23445260356264e+00,-3.77257882730482e+00,4.29692663256233e+00,-4.75609737162382e+00,-5.35368214823295e+01,-6.91425523731546e+00,5.57738925353297e-27,5.00000000000000e-01,7.73333333333333e-01,-1.06666666666667e-02
4.95533744473709e+00,-4.58567610460435e+00,-2.89495299928002e+00,-4.38369537146191e+00,4.76090217592977e+00,-3.59740705445245e-01,-5.35020989004485e+01,-6.91525523731550e+00,5.76868050893840e-27,1.35914091422952e+00,8.00000000000000e-01,2.66666666666667e-02
1.70006548314349e+00,2.97151510536950e+00,4.89383079456808e+00,4.88014531379395e+00,4.31297808922797e+00,-4.18710101436958e+00,-5.33231900461592e+01,-6.91625523731543e+00,6.89193734303782e-27,3.69452804946533e+00,8.13750000000000e-01,1.37499999999999e-02
4.64223968298632e+00,-3.46300460467272e+00,-4.94373189335809e+00,-2.12561516761095e+00,-4.21132511796869e+00,3.81008404513209e+00,-5.28903885561326e+01,-6.91725523731554e+00,1.06137859494648e-26,1.35914091422952e+00,7.76666666666667e-01,-3.70833333333334e-02
-4.71973375780246e+00,-1.57093406998238e+00,-4.13247009982420e+00,3.05789234152442e+00,-4.83991806357711e+00,-4.38633369107654e+00,-5.24318638991397e+01,-6.91825523731545e+00,1.67714556748401e-26,6.29446858764845e-01,7.69000000000000e-01,-7.66666666666660e-03
-2.77794426935448e+00,-4.82160103159189e+00,-4.14718074346335e+00,-2.74352933415785e+00,-4.61924249780313e+00,-3.96022067148243e+00,-5.18694418048863e+01,-6.91925523731542e+00,2.94031105167462e-26,1.71101395816111e+00,7.83636363636364e-01,1.46363636363637e-02
7.76260223918398e-01,-3.73177832654465e+00,-4.94570777688921e+00,-3.88752434194501e+00,4.35728684085878e+00,-4.35477586892008e+00,-5.15394521054767e+01,-6.92025523731549e+00,4.08574904010212e-26,6.29446858764845e-01,7.69166666666667e-01,-1.44696969696970e-02
3.40075261962354e+00,3.08499334729201e+00,4.46180443498438e+00,3.82559164675703e+00,-3.36449967738548e+00,-4.97261593360463e+00,-5.13495911451807e+01,-6.92125523731546e+00,4.93506594419830e-26,1.71101395816111e+00,7.79230769230769e-01,1.00641025641026e-02
-2.94448182011431e+00,-4.32513775256090e+00,4.63241111941893e+00,4.89331818743798e+00,-1.37575882784583e+00,4.11533094183873e+00,-5.13182544676449e+01,-6.92225523731547e+00,5.08707349264487e-26,2.63665015218088e+00,7.83571428571429e-01,4.34065934065930e-03
-3.99774780004765e+00,-3.85515242279684e+00,-4.28516482886671e+00,-3.86532240245397e+00,-3.80353332716328e+00,-3.53097560237360e+00,-5.10547297141252e+01,-6.92325523731551e+00,6.61425697109388e-26,9.69969384548899e-01,7.42666666666667e-01,-4.09047619047619e-02
-4.81348951883081e+00,2.48630312868070e+00,-2.55738092431327e+00,-4.80463660682939e+00,-3.94759460186960e+00,-4.03336615838018e+00,-5.09274614055923e+01,-6.92425523731546e+00,7.50444697581590e-26,2.13914253258489e+00,7.50625000000000e-01,7.95833333333329e-03
4.74939114093276e+00,-2.86908190239619e+00,-3.59099992008657e+00,3.92961388113960e+00,-3.63141263526741e+00,4.29047033668502e+00,-5.08740243411443e+01,-6.92525523731551e+00,7.90845815595215e-26,2.12078736002364e+00,7.50588235294118e-01,-3.67647058823195e-05
-1.46320973169815e+00,-4.69643900150548e+00,-3.90383825194313e+00,-4.54562544214751e+00,-3.55873624042746e+00,-4.18705478183768e+00,-5.06617397690364e+01,-6.92625523731541e+00,9.76903228486526e-26,3.10450032170473e+00,7.54444444444444e-01,3.85620915032681e-03
4.71758275772096e+00,4.02034881056414e+00,2.48013561430341e+00,4.89718318183794e+00,1.96085278126602e+00,-4.19088391914903e+00,-5.04939907307719e+01,-6.92725523731543e+00,1.15416986823537e-25,1.14208184346530e+00,7.24736842105263e-01,-2.97076023391813e-02
-2.60993942627762e+00,4.42912920060328e+00,4.47429522433534e+00,-1.45126646548992e+00,-4.08858345892769e+00,4.90995131460286e+00,-5.02029301984141e+01,-6.92825523731549e+00,1.54255770958956e-25,1.28629830828412e+00,7.26000000000000e-01,1.26315789473685e-03
-2.44730906179327e+00,-4.99397549944594e+00,-3.09825024975074e+00,-4.95700660390021e+00,-2.60709411304919e+00,4.09310261701685e+00,-4.98389365767593e+01,-6.92925523731550e+00,2.21762213345019e-25,1.36492829791213e+00,7.26666666666667e-01,6.66666666666704e-04
-4.14055366294135e+00,-4.55944517261570e+00,-4.03301609869737e+00,1.08889574057258e+00,4.74307139439037e+00,-3.21882100411962e+00,-4.96342175022104e+01,-6.93025523731546e+00,2.71870206742016e-25,2.60110207856519e+00,7.33181818181818e-01,6.51515151515147e-03
3.89083932796097e+00,-3.14286441000707e+00,4.07324042920501e+00,4.94549120051054e+00,2.77750410788752e-01,-4.62218881298176e+00,-4.92672176446407e+01,-6.93125523731545e+00,3.92024614097048e-25,2.04991205384677e+00,7.30869565217391e-01,-2.31225296442683e-03
4.07667026831075e+00,-4.20825476779986e+00,-3.02420334682004e+00,2.86627070285364e+00,4.79603538832606e+00,-3.51766165505428e+00,-4.90465618246545e+01,-6.93225523731544e+00,4.88324648932676e-25,3.07818571522944e+00,7.35000000000000e-01,4.13043478260866e-03
-4.96846243716524e+00,-3.69440575882966e+00,-2.05475576299615e-01,-4.35377720356519e+00,2.21524233710740e+00,-4.96345777084713e+00,-4.89511615489156e+01,-6.93325523731557e+00,5.36668574679786e-25,2.99762518423547e+00,7.34800000000000e-01,-1.99999999999978e-04
-6.95331849060531e-01,-4.58648283206277e+00,-4.90495375748306e+00,3.56955310140698e+00,-2.95804668788599e+00,-4.43520307101221e+00,-4.88839603681827e+01,-6.93425523731542e+00,5.73399054975588e-25,1.91423941215419e+00,7.30384615384615e-01,-4.41538461538460e-03
4.35560045223026e+00,3.26469220641302e+00,-3.07604647307551e+00,4.68163696279198e+00,8.85689894044858e-01,4.99313421227431e+00,-4.88761776498901e+01,-6.93525523731544e+00,5.77301478794402e-25,7.04209325211634e-01,7.09259259259259e-01,-2.11253561253562e-02
-3.60308681682393e+00,-2.93433548573589e+00,-4.20839518878290e+00,2.85122119099161e+00,4.04671250551243e+00,-4.73080816622555e+00,-4.86081510484235e+01,-6.93625523731548e+00,7.53999138248085e-25,1.19619351466872e+00,7.14642857142857e-01,5.38359788359788e-03
4.14274128668046e+00,3.94402665800240e+00,7.79551950018507e-01,3.93767542801508e+00,-4.89764692816230e+00,3.65514811292744e+00,-4.86024781092733e+01,-6.93725523731548e+00,7.57530775476843e-25,1.43574849987371e+00,7.16551724137931e-01,1.90886699507387e-03
-1.44144269905533e+00,4.71431245945758e+00,-4.48894173477282e+00,4.22319706021097e+00,1.57793064741279e+00,-4.59661640228310e+00,-4.84672500984997e+01,-6.93825523731549e+00,8.66352764585492e-25,2.53978788778467e+00,7.22333333333333e-01,5.78160919540238e-03
1.67660877644795e+00,-4.81410704380044e+00,4.07103514131052e+00,-4.19117690287003e+00,-2.23949624660319e+00,4.54197368178905e+00,-4.83990326637910e+01,-6.93925523731549e+00,9.26588544283572e-25,1.87042670682221e+00,7.19354838709677e-01,-2.97849462365596e-03
-4.69780399545504e+00,-2.64148276627443e+00,-2.24041138777034e+00,-4.88754392406114e+00,3.26189887797124e+00,-4.08761568404379e+00,-4.81650855212335e+01,-6.94025523731546e+00,1.16964639110954e-24,2.10695803848627e+00,7.20625000000000e-01,1.27016129032254e-03
