cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,cmpt_6,cmpt_7,cmpt_8,cmpt_9,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
8.16957458116661e+00,-8.25710494295770e+00,-5.33127393593301e+00,-9.83883321608041e+00,7.49258387367341e+00,-9.37205316877468e+00,-2.41120606172447e+00,9.49685861003321e+00,-9.99862236937266e+00,4.23590367518008e+00,-3.18209691713443e+02,-6.90825523731550e+00,6.35432862815878e-142,5.00000000000000e-01,5.00000000000000e-01,5.00000000000000e-01
-8.34027808232722e+00,-8.85682507240259e+00,-9.40350887163322e+00,7.74939648870420e+00,5.49740165897929e+00,8.92089079959254e+00,5.05229388443323e+00,-7.17046815673974e+00,6.55657110206759e+00,9.25624455238762e+00,-3.15136588557178e+02,-6.90925523731545e+00,1.37172520956857e-140,1.35914091422952e+00,9.65000000000000e-01,4.65000000000000e-01
7.96401725224186e+00,7.20040041533587e+00,3.91673214031140e+00,-9.57454014229324e+00,-8.55076494697266e+00,-9.11823689181949e+00,-7.28087853230157e+00,8.06037018586624e+00,3.63198962021729e+00,-8.09308653853332e+00,-2.96795350216888e+02,-6.91025523731548e+00,1.26570188867202e-132,5.00000000000000e-01,7.72500000000000e-01,-1.92500000000000e-01
-6.31648521801760e+00,-4.47264032429154e+00,4.06012272235434e+00,-8.96763132344308e+00,8.71474993761261e+00,9.41192013345758e+00,-3.40715518332082e+00,-9.97042544967399e+00,9.62164087601769e+00,6.81528213022892e+00,-2.94878758266234e+02,-6.91125523731546e+00,8.59532775792138e-132,3.79879120596839e-01,7.45000000000000e-01,-2.75000000000000e-02
8.85645174653725e+00,9.30935540084239e+00,-5.87991271992799e+00,-8.26340842371121e+00,7.04364601790012e+00,6.75087524962009e+00,7.46419638674982e+00,4.16975430645755e+00,8.01751618128383e+00,8.34090745152590e+00,-2.94238272955654e+02,-6.91225523731547e+00,1.62924870152173e-131,4.87906162996760e-01,7.70000000000000e-01,2.50000000000000e-02
7.29974177792160e+00,-9.06337599877922e+00,7.08008561155471e+00,-9.56834628557696e+00,6.81811628542552e+00,-8.10788908460623e+00,-1.35652122005036e+00,7.85012410581152e+00,8.80621584363757e+00,5.59659946495751e+00,-2.90025592261377e+02,-6.91325523731548e+00,1.09925150428136e-129,6.32967512917671e-01,7.96000000000000e-01,2.60000000000000e-02
5.09802468335583e+00,-2.21920387112607e+00,-5.80682536005740e+00,-6.02718480781029e+00,-9.08880078227775e+00,-9.26184450841868e+00,9.83782302808397e+00,-4.51867681932645e+00,-9.26318920045863e+00,9.41494306273023e+00,-2.89688381070759e+02,-6.91425523731546e+00,1.53855042112842e-129,5.21840732803563e-01,7.76666666666667e-01,-1.93333333333334e-02
-8.10419176428394e+00,2.10307817463348e+00,9.39384294871787e+00,-6.08982805756693e+00,-4.90060657463035e+00,9.52817895397819e-01,-9.41735625416441e+00,-9.44463956393612e+00,9.45419657715125e+00,8.50343793262205e+00,-2.89155917687236e+02,-6.91525523731550e+00,2.61772094705042e-129,4.88317478533385e-01,7.70000000000000e-01,-6.66666666666660e-03
-6.48051873061524e+00,-6.09149813224061e+00,9.65636024219973e+00,8.70741723014018e+00,-9.28612366444433e+00,6.63314234621144e+00,-7.48688242672406e+00,5.80936377159277e+00,-4.09881674465375e+00,8.62136555528275e+00,-2.88853839927650e+02,-6.91625523731543e+00,3.53736405046203e-129,5.13495242814382e-01,7.75000000000000e-01,5.00000000000000e-03
9.61979715244764e+00,-1.85766448677771e+00,1.83852757084468e+00,9.49261350808063e+00,7.92637020083029e+00,-6.55047233950523e+00,6.20651986542371e+00,-9.73369495719934e+00,-9.51598638078157e+00,5.46998095167638e+00,-2.83668253648378e+02,-6.91725523731554e+00,6.31418016886537e-127,4.94043212130698e-01,7.71111111111111e-01,-3.88888888888894e-03
-7.36183990907804e+00,-6.97790115466483e+00,-3.31892759741416e+00,-9.21841505240546e+00,-8.80653888977603e+00,-3.76966834424236e+00,6.17401976704428e+00,-6.52948637535022e+00,-9.64400826246965e+00,9.10538302437885e+00,-2.82847076469407e+02,-6.91825523731545e+00,1.43388853714569e-126,4.64878869614563e-01,7.65000000000000e-01,-6.11111111111107e-03
8.03088050899156e+00,7.04474527275054e+00,-8.51059175813446e+00,-6.71041818246688e+00,6.48207310649533e+00,-8.81277785185201e+00,4.23113967746722e+00,7.54317371917480e+00,8.48465822902759e+00,-6.68470384853063e+00,-2.80560580687706e+02,-6.91925523731542e+00,1.40959256160854e-125,4.50438031462037e-01,7.61818181818182e-01,-3.18181818181817e-03
-9.79039420956170e+00,-9.76913712156676e+00,9.82717976246217e+00,-3.72913693531128e+00,6.16771730176033e+00,-8.46400632392351e+00,8.93286418864299e-01,-5.35165458361938e+00,4.92619432331507e+00,8.50147945598659e+00,-2.77903702261642e+02,-6.92025523731549e+00,2.00690559793680e-124,4.88973694907031e-01,7.70000000000000e-01,8.18181818181818e-03
6.76671524016469e+00,-4.40012082464094e+00,8.80621568902176e+00,-9.80435711319273e+00,6.66699094906240e+00,5.14070767685729e+00,9.23827931277148e+00,-7.24128140486945e+00,-4.57473282062499e+00,-8.28622307294479e+00,-2.77725200101972e+02,-6.92125523731546e+00,2.39670815071193e-124,5.16166936156413e-01,7.75384615384615e-01,5.38461538461532e-03
7.26787325243242e+00,-9.51265991774294e+00,9.73879791825268e+00,9.11524692414479e+00,4.20383347440613e+00,-1.97492480586519e+00,6.75531014215962e+00,6.53178479171792e+00,4.02619289820587e+00,9.43994489502526e+00,-2.77408561391767e+02,-6.92225523731547e+00,3.28620992481021e-124,5.80738049235962e-01,7.87142857142857e-01,1.17582417582418e-02
9.89043531992565e+00,1.60039951354090e+00,-9.21501005516743e+00,-2.66651923401889e+00,9.27042772309709e+00,-7.27060931478233e+00,-5.63411283207766e+00,-8.35905576836788e+00,-4.21179561467011e+00,-9.23978468084909e+00,-2.77159984592156e+02,-6.92325523731551e+00,4.20936456570296e-124,5.99739196681308e-01,7.90333333333333e-01,3.19047619047619e-03
-5.98792447371493e+00,-9.97245093099083e+00,-9.29664326838103e+00,6.98889616178844e+00,-3.47601450345319e+00,6.91156546807122e+00,-9.22126491501510e+00,7.83159266890868e+00,-3.56895269148134e+00,-6.65337995630218e+00,-2.76089452957798e+02,-6.92425523731546e+00,1.22661487745352e-123,6.01665823184006e-01,7.90625000000000e-01,2.91666666666690e-04
8.92443777847746e+00,-1.71232693947997e+00,8.86099326328194e+00,-7.34135352963458e+00,5.38817014266256e+00,-6.19125325951514e+00,6.72025894956111e+00,8.94641865705161e+00,-6.91063726146755e+00,-8.72525622017359e+00,-2.74910191067327e+02,-6.92525523731551e+00,3.98493154379985e-123,5.96333878834750e-01,7.89705882352941e-01,-9.19117647058876e-04
6.53359805750259e+00,8.89817835701910e+00,-4.56482660640452e+00,-8.39137609495531e+00,6.65564026059609e+00,-4.81900868782688e+00,-9.64861515535229e+00,3.64378527949599e+00,9.02571368494055e+00,-7.64030240696480e+00,-2.72614076499948e+02,-6.92625523731541e+00,3.95527293127185e-122,6.13410510324778e-01,7.92500000000000e-01,2.79411764705884e-03
-8.90756196302749e+00,2.18124160199976e+00,-1.83864831811292e+00,8.27400509331950e+00,-9.49756955924612e+00,-2.64368815111938e+00,-3.00292816326840e+00,-9.54903696162014e+00,-9.51423382784929e+00,8.97211246732939e+00,-2.71367540052368e+02,-6.92725523731543e+00,1.37437758419699e-121,6.47604162413429e-01,7.97894736842105e-01,5.39473684210523e-03
5.54190562222156e+00,-6.46704431958588e+00,3.74409605759443e+00,9.43248971785732e+00,6.74782297960755e+00,-9.08026205694503e+00,5.28991955027654e+00,4.58410237340373e+00,8.52514273976599e+00,9.83713289081389e+00,-2.70166514012910e+02,-6.92825523731549e+00,4.56321309757177e-121,6.54997409592515e-01,7.99000000000000e-01,1.10526315789483e-03
6.71424134422400e-01,7.18621745144093e+00,6.75947066611555e+00,-8.36884643405556e+00,6.64022751491359e+00,6.72746680116538e+00,8.62031035367855e+00,6.23085297597743e+00,-7.46069142186312e+00,9.63223301956733e+00,-2.68562938225657e+02,-6.92925523731550e+00,2.26600347538280e-120,6.49291492591368e-01,7.98095238095238e-01,-9.04761904761964e-04
9.52246003831144e+00,-5.12119204624178e+00,9.30914864777499e+00,9.00173789086653e-01,-5.86096024848393e+00,7.54496587089708e+00,5.95181668406775e+00,8.51602823389961e+00,7.92131734665220e+00,7.18557367256783e+00,-2.68178573232115e+02,-6.93025523731546e+00,3.32471078993662e-120,6.50047696664446e-01,7.98181818181818e-01,8.65800865801347e-05
3.07769474511460e+00,-9.70955991173709e+00,7.28149800194624e+00,7.04748007078027e+00,6.00314903286167e+00,6.81230483234217e+00,8.64173217061228e+00,7.15393550447571e+00,7.94948325171528e+00,6.29201467172896e+00,-2.67950536962813e+02,-6.93125523731545e+00,4.17209771780738e-120,6.63614685618295e-01,8.00217391304348e-01,2.03557312252967e-03
-9.79376214635168e+00,1.28698604074547e+00,-7.25276646520691e-01,6.36778533962440e+00,7.80900767554673e+00,1.61723383621876e+00,-6.40484715508078e+00,9.78329551290446e+00,-9.17772829246893e+00,9.58778595394017e+00,-2.66757458743027e+02,-6.93225523731544e+00,1.37425543955410e-119,6.60993650290043e-01,7.99791666666667e-01,-4.25724637681202e-04
1.33725219280587e-01,-4.26194779973703e+00,9.93171339662956e+00,9.71466207791287e+00,-8.59637380458064e+00,1.96917117146028e+00,2.33332514624093e+00,8.72587383644146e+00,-8.45040870265000e+00,-8.38899448857418e+00,-2.65359818162383e+02,-6.93325523731557e+00,5.55419038165323e-119,6.35316542568830e-01,7.95800000000000e-01,-3.99166666666673e-03
8.93760186454863e+00,-7.22135684149073e+00,-9.73951850586049e+00,-8.69837428563928e+00,-5.88074315326690e+00,3.97814685382931e+00,-9.97518193121198e+00,-6.39015214092755e+00,1.38760939244326e+00,3.99509220556180e+00,-2.64780370620154e+02,-6.93425523731542e+00,9.90460904420612e-119,6.08988583218941e-01,7.91538461538462e-01,-4.26153846153843e-03
