cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
3.56818090436140e+00,4.98240432770247e+00,-4.40753870949239e+00,-4.90372202113512e+00,-4.39329859120338e+00,3.76987300058935e+00,-6.27847161654197e+01,-6.90825523731550e+00,5.40414623412286e-31,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
-4.11491760553585e+00,-4.99220601105449e+00,-4.47606257961196e+00,9.25536949653993e-02,-4.16057556732525e+00,-4.76161488173739e+00,-5.64544989426093e+01,-6.90925523731545e+00,3.03019939385391e-28,1.83939720585721e-01,7.90000000000000e-01,-1.00000000000000e-02
4.25872700104121e+00,-1.36256546875408e+00,-4.22797409370184e+00,4.18041338940608e+00,4.99629507834350e+00,-4.42839442682673e+00,-5.54729327352038e+01,-6.91025523731548e+00,8.07840644811283e-28,5.00000000000000e-01,8.65000000000000e-01,7.50000000000000e-02
-2.75335908459279e+00,4.89970444469716e+00,4.37741591290330e+00,-2.67829651778286e+00,-4.30881113071775e+00,-4.77837357609673e+00,-5.51745509951692e+01,-6.91125523731546e+00,1.08761940793664e-27,1.35914091422952e+00,8.90000000000000e-01,2.50000000000000e-02
3.79855877863886e+00,-2.44671029418649e+00,4.82874864237573e+00,-3.12051546431326e+00,4.66591713614403e+00,-4.88001696653963e+00,-5.50412404896967e+01,-6.91225523731547e+00,1.24147698014785e-27,5.00000000000000e-01,8.70000000000000e-01,-2.00000000000000e-02
-4.05242248203340e+00,4.48809946346205e+00,4.79050768789406e+00,-4.53169468802720e+00,2.18788347375876e+00,-3.71007565067932e+00,-5.48145716200972e+01,-6.91325523731548e+00,1.55577008324312e-27,1.35914091422952e+00,8.82000000000000e-01,1.20000000000000e-02
-4.65925530339772e+00,-4.46884519873538e+00,2.14028285885935e+00,-4.95488310969773e+00,4.84907304290934e+00,1.75640093279509e+00,-5.42183153714944e+01,-6.91425523731546e+00,2.82138218678381e-27,5.00000000000000e-01,8.70000000000000e-01,-1.20000000000000e-02
-4.32455396885550e-01,4.55592076180079e+00,-3.62716685877933e+00,-4.89672423841976e+00,-4.71775457055445e+00,-4.06438753674722e+00,-5.39406979875556e+01,-6.91525523731550e+00,3.72044872484253e-27,1.35914091422952e+00,8.82857142857143e-01,1.28571428571429e-02
4.98885621342527e+00,-4.78620277391505e+00,-4.76068612865547e+00,4.00936885356303e+00,-3.04037777092589e+00,-9.61478905277168e-01,-5.38655976987956e+01,-6.91625523731543e+00,4.00660630384034e-27,1.32232101038351e+00,8.82500000000000e-01,-3.57142857142945e-04
-2.65961565781452e+00,2.47456601947935e+00,3.99832158997402e+00,4.89755536836266e+00,-4.65603643495084e+00,-4.66156595781504e+00,-5.38028957046671e+01,-6.91725523731554e+00,4.26160806396020e-27,6.65311215103975e-01,8.75555555555556e-01,-6.94444444444442e-03
4.73688418771381e-01,-4.94719052418964e+00,-4.02540503841908e+00,-4.85964700547326e+00,3.60674321465916e+00,4.36127961408952e+00,-5.37878742111038e+01,-6.91825523731545e+00,4.32178305978175e-27,1.27780541800515e+00,8.82000000000000e-01,6.44444444444447e-03
3.71202002820266e+00,4.35240721985850e+00,2.65552061679230e+00,-3.79121229449347e+00,-4.48723899302586e+00,-4.68532117855880e+00,-5.36312162118825e+01,-6.91925523731542e+00,5.04968599245099e-27,6.10879283881723e-01,8.74545454545455e-01,-7.45454545454549e-03
