cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,cmpt_6,cmpt_7,cmpt_8,cmpt_9,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
9.97215299049618e+00,9.02479662290937e+00,-5.78582919761818e+00,-6.44140798827508e+00,-9.39146130432883e+00,-7.23548374432795e+00,-9.20283111851482e+00,-4.84250868952843e+00,9.95755388334891e+00,9.07027796707549e+00,-3.52176849783922e+02,-6.90825523731550e+00,1.12543484046557e-156,5.00000000000000e-01,5.00000000000000e-01,5.00000000000000e-01
-9.66917152155282e+00,-8.11341528448789e+00,-8.91202357005830e+00,-7.89252104585962e+00,9.24923936153221e+00,-6.48928873519863e+00,9.32021468451121e+00,-5.79209923021462e+00,6.94185184732526e+00,-3.31352940007981e+00,-3.13329052593089e+02,-6.90925523731545e+00,8.36122701755730e-140,1.35914091422952e+00,8.60000000000000e-01,3.60000000000000e-01
-3.81356131087076e+00,5.94844382086251e+00,-9.20911071314674e+00,9.78669340106438e+00,9.63876931826351e+00,7.86996022268892e+00,7.53405771997330e+00,-5.44673993300110e+00,-7.43458044146478e+00,-7.89241770206048e+00,-3.03863742647638e+02,-6.91025523731548e+00,1.07787301558264e-135,5.00000000000000e-01,7.55000000000000e-01,-1.05000000000000e-01
9.10237797889940e+00,7.52065734449315e+00,2.08146044176909e-01,-9.32692967346222e+00,7.61622447153620e+00,-8.21006896043390e+00,-8.47505038369898e+00,-2.63125386515841e+00,-8.94617027363313e+00,8.44003832493025e+00,-3.00128788631149e+02,-6.91125523731546e+00,4.51027709940911e-134,5.25772231198562e-01,7.60000000000000e-01,5.00000000000000e-03
9.80799452428526e+00,-6.18122250731463e+00,-8.38080738634979e+00,9.44460741198708e+00,-6.94455507912497e+00,-6.66740732022101e+00,-7.70062784931554e+00,8.20439324461905e+00,4.50739411293167e+00,6.91842942993998e+00,-2.99847875706379e+02,-6.91225523731547e+00,5.96716247746120e-134,5.95940362072671e-01,7.72500000000000e-01,1.25000000000000e-02
-5.45966528976026e+00,-1.36147533838080e-01,9.49152059856086e+00,8.93752671567329e+00,8.00983381032741e+00,-7.97593328589997e+00,-9.21293417638723e+00,7.32500528753642e+00,-4.65649542311217e+00,9.60478055650224e+00,-2.99207583080614e+02,-6.91325523731548e+00,1.13086072948182e-133,6.89128391545540e-01,7.87000000000000e-01,1.45000000000001e-02
-4.34394482744608e+00,9.81421006665565e+00,-7.03796301514098e+00,-6.50330088821367e+00,-3.81905660134478e+00,-7.89024586981052e+00,-3.78998734988179e+00,9.95772397021993e+00,-9.12923831157155e+00,9.88190246958187e+00,-2.98374812475814e+02,-6.91425523731546e+00,2.59802010036298e-133,6.26848634007678e-01,7.77500000000000e-01,-9.50000000000006e-03
9.34002612666788e+00,8.89877642513936e+00,5.36830602027525e+00,-8.56093182380580e+00,-1.00462311493107e+00,9.24553241864224e+00,7.44750370452004e+00,-7.82871358313007e+00,9.95213791119299e+00,-1.99885936898552e+00,-2.96597518333213e+02,-6.91525523731550e+00,1.53488998074089e-132,5.98573535711537e-01,7.72857142857143e-01,-4.64285714285706e-03
5.61194803994969e+00,-3.68207922255767e+00,-9.99601019227536e+00,9.29480021198392e+00,9.65626438214361e+00,-1.46000090030907e+00,6.40620752129970e+00,8.04093184337274e+00,6.80352046808427e+00,9.51276609562305e+00,-2.93797851656940e+02,-6.91625523731543e+00,2.52070919360602e-131,6.39065741265369e-01,7.79375000000000e-01,6.51785714285713e-03
-7.76718700329116e+00,5.76967034897451e+00,-2.10204227610850e+00,9.23878687645687e+00,-5.15592439146648e+00,-1.06974644837404e+00,-9.66886322354995e+00,9.89047373348112e+00,8.61328005888378e+00,-9.53987925029618e+00,-2.93002507598729e+02,-6.91725523731554e+00,5.57830153792991e-131,6.36144098943551e-01,7.78888888888889e-01,-4.86111111111187e-04
6.61785764552878e+00,-3.80607064327554e+00,9.54856091441954e+00,9.96051208406515e+00,-1.38082822457067e+00,6.71098161260810e+00,5.76739933739260e+00,8.22831021547524e+00,-9.39104806699692e+00,8.66876683872312e+00,-2.89149523967160e+02,-6.91825523731545e+00,2.62661985083344e-129,6.59722122239520e-01,7.82500000000000e-01,3.61111111111112e-03
2.06466472371694e+00,-9.34499242849327e+00,9.82146293931563e+00,-8.90776579693955e+00,-4.30299441666720e+00,-7.79641860715008e+00,3.72126775760628e+00,-7.46590355712156e+00,8.14059275845321e+00,-8.76969401707255e+00,-2.88922078815993e+02,-6.91925523731542e+00,3.29413278766487e-129,6.58410281355512e-01,7.82272727272727e-01,-2.27272727272743e-04
4.52773166076316e+00,-9.43388487450109e+00,9.43903286856581e+00,-9.59311937186877e+00,-5.07568003654133e+00,-3.19647267254250e+00,6.70301223329158e+00,-4.41592313817839e+00,8.97565493558456e+00,9.18163844391889e+00,-2.87138085412909e+02,-6.92025523731549e+00,1.95922943986114e-128,5.75287400096852e-01,7.68750000000000e-01,-1.35227272727272e-02
5.96846384196567e+00,9.27388626996960e+00,-6.83030663136312e+00,5.99337311605943e+00,9.76747039250822e+00,9.78875424498572e+00,-2.42603770813262e+00,5.16404289252661e+00,-8.63280091022614e+00,-6.35665632305037e+00,-2.80644212239980e+02,-6.92125523731546e+00,1.29391065352535e-125,6.19668314060431e-01,7.76153846153846e-01,7.40384615384615e-03
-2.01579927982985e+00,6.46246065096653e+00,-1.66000042110798e+00,-8.94308556306325e+00,-9.97890594268547e+00,-9.40339172073343e+00,9.50534682138360e+00,-6.68301429983330e+00,7.37004019581669e+00,5.88880824670788e+00,-2.79476094444201e+02,-6.92225523731547e+00,4.15697207531554e-125,6.12727863959979e-01,7.75000000000000e-01,-1.15384615384617e-03
-2.38350759568710e+00,9.42061243026058e+00,-4.11668068070751e+00,-9.06177160246172e+00,9.71753662076144e+00,-5.94410702624256e+00,8.39049557169263e+00,-5.68631310054962e+00,-9.25524822174593e+00,-5.19728993981826e+00,-2.78519761685323e+02,-6.92325523731551e+00,1.08061963056887e-124,5.81061863820945e-01,7.69666666666667e-01,-5.33333333333330e-03
-9.25553124802180e+00,-3.62521877898589e+00,9.47026717860017e+00,6.28305048676197e+00,-7.24976169678075e+00,2.10309310587049e+00,-8.79125992678125e+00,-5.83034011846114e+00,7.46232795254185e+00,9.25884732810498e+00,-2.78011139485119e+02,-6.92425523731546e+00,1.79527247814005e-124,6.28582989264763e-01,7.77500000000000e-01,7.83333333333325e-03
-9.86672625791727e-01,-8.55647088686628e+00,-6.83785610963061e+00,9.81138480535488e+00,9.27064629984139e+00,9.15125353031732e+00,9.41551838283096e+00,6.63525170552533e+00,-1.38779143904082e+00,-3.82549983256033e+00,-2.77257162594456e+02,-6.92525523731551e+00,3.81192266940265e-124,6.20489662805740e-01,7.76176470588235e-01,-1.32352941176472e-03
-8.16357667979749e+00,-9.42353267190283e+00,-9.46666956695525e+00,-6.58859129797840e+00,9.15114296792179e+00,-7.22075787234130e+00,-3.69098534623790e+00,5.54015018558845e+00,1.10967704036230e+00,8.08828888098171e+00,-2.76852144895598e+02,-6.92625523731541e+00,5.70961387248374e-124,5.77034477030588e-01,7.68888888888889e-01,-7.28758169934640e-03
-5.40692291318857e+00,6.37794878092360e+00,6.96350571820754e+00,9.90361572199796e+00,-7.70424448817403e+00,-4.65609739815812e+00,9.04008552182808e+00,-7.20188371460341e+00,-7.84061664234727e+00,6.45277892876111e+00,-2.76301179790738e+02,-6.92725523731543e+00,9.89586015188511e-124,5.68479189762042e-01,7.67368421052632e-01,-1.52046783625726e-03
-3.71926428545369e-01,-7.19611333069823e+00,-7.73491045531082e+00,9.33804659400317e+00,-6.03647634963429e+00,-7.42901847942495e+00,8.94071585646364e+00,8.62666197512995e+00,1.34613697634802e-01,-9.36791508129735e+00,-2.75545056948558e+02,-6.92825523731549e+00,2.10571326378757e-123,5.91139332301153e-01,7.71250000000000e-01,3.88157894736840e-03
