cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.37631006094277e+00,4.72360749400777e+00,4.44256152121086e+00,-4.88415124923630e+00,-3.18244238072245e+00,-4.70157295332148e+00,-6.41579169678688e+01,-6.90825523731550e+00,1.36884275381512e-31,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
-4.61740515199517e+00,4.74446962939853e+00,-4.54531531374408e+00,4.06394602154255e+00,-3.45664222172372e+00,4.09318996978915e+00,-6.03679064693551e+01,-6.90925523731545e+00,6.05201384230001e-30,1.35914091422952e+00,9.20000000000000e-01,1.20000000000000e-01
3.50931280397813e+00,4.09490667056699e+00,4.81494859457555e+00,4.65020412227288e+00,4.82675093124330e+00,4.64891850690390e-01,-5.42162883603621e+01,-6.91025523731548e+00,2.83843803489593e-27,5.00000000000000e-01,8.80000000000000e-01,-4.00000000000000e-02
4.84499505495736e+00,-4.26384646424682e+00,-4.92998307777383e+00,2.33946145666980e+00,-4.93979331550130e+00,-9.54802579441901e-01,-5.38863225823958e+01,-6.91125523731546e+00,3.94409566046462e-27,1.35914091422952e+00,8.96666666666667e-01,1.66666666666666e-02
4.99336383560186e+00,-2.95842052304377e+00,-4.66680214544108e+00,-1.92005746456862e+00,4.71864813760602e+00,3.77223055969086e+00,-5.33371116757004e+01,-6.91225523731547e+00,6.82389619160420e-27,9.04327371774864e-01,8.92500000000000e-01,-4.16666666666665e-03
-5.98780672228953e-01,4.11445702668577e+00,-4.77011512861556e+00,-2.39070585237658e+00,-4.99456223922815e+00,-4.83841559000562e+00,-5.25699737527234e+01,-6.91325523731548e+00,1.46812111149301e-26,1.93370171461059e+00,9.00000000000000e-01,7.50000000000006e-03
4.99817215484464e+00,4.50806422182852e+00,-2.13397316415418e+00,-3.48583351575889e+00,-4.70319772286760e+00,3.11937548456027e+00,-5.24435396540878e+01,-6.91425523731546e+00,1.66432148929977e-26,7.11369106163204e-01,8.66666666666667e-01,-3.33333333333333e-02
4.06145246750257e+00,3.05167603834737e+00,3.92587224500658e+00,4.82083698634129e+00,2.49045895759152e+00,4.81436711671235e+00,-5.24344219336623e+01,-6.91525523731550e+00,1.67788697175089e-26,2.61698069241948e-01,8.52857142857143e-01,-1.38095238095238e-02
-3.16715753553412e+00,-2.51625020014568e+00,3.96181729432114e+00,3.42928146288758e+00,4.97724532627401e+00,-4.93128821288875e+00,-5.19681032090012e+01,-6.91625523731543e+00,2.67207138571592e-26,7.11369106163204e-01,8.66250000000000e-01,1.33928571428571e-02
4.22855995893728e+00,-4.32854848595773e+00,3.82871663604070e+00,-3.61073254410141e+00,2.14110506009846e+00,4.86787251038361e+00,-5.18106439765351e+01,-6.91725523731554e+00,3.12462165042480e-26,1.30197272785340e+00,8.72222222222222e-01,5.97222222222227e-03
-4.69040271279052e+00,2.48354718595627e-01,3.64616701623844e+00,-4.04137912295331e+00,4.50784225746108e+00,4.49387664658924e+00,-5.16158341623307e+01,-6.91825523731545e+00,3.79287011280629e-26,1.56683611858146e+00,8.74000000000000e-01,1.77777777777777e-03
4.37368465260215e+00,-4.76983604258145e+00,-7.74733790838946e-01,4.99765956636595e+00,4.44077965679849e+00,-1.96694106476656e+00,-5.10369552027869e+01,-6.91925523731542e+00,6.75985863424867e-26,5.76406795710979e-01,8.58181818181818e-01,-1.58181818181818e-02
4.68903433203175e+00,4.33617308857884e+00,-2.34016867284499e+00,3.48794684848436e+00,3.61173967641954e+00,4.41024321745635e+00,-5.09768868876238e+01,-6.92025523731549e+00,7.17118055374981e-26,7.56005387489203e-01,8.60833333333333e-01,2.65151515151518e-03
-3.54594620022150e+00,3.41936412279904e+00,-2.89470386912743e+00,-4.90058874363824e+00,-4.78228525517353e+00,-3.36550200063346e+00,-5.09424921765419e+01,-6.92125523731546e+00,7.41470361649422e-26,6.99744430525579e-01,8.60000000000000e-01,-8.33333333333353e-04
9.89245902523623e-01,4.72949168928769e+00,-4.63647789563142e+00,-4.63093134369783e+00,-3.50760276554476e+00,-3.46933121653009e+00,-5.08279750619352e+01,-6.92225523731547e+00,8.30603300300964e-26,1.08107929586897e+00,8.64285714285714e-01,4.28571428571434e-03
-4.16895060714908e+00,-3.58696724353758e+00,3.64154005932873e+00,-4.99345831794290e+00,-4.52187578149108e+00,-1.29057737311637e+00,-5.07910680393124e+01,-6.92325523731551e+00,8.60969712944222e-26,1.20834919716711e+00,8.65333333333333e-01,1.04761904761896e-03
4.66022234252448e+00,4.25451163526401e+00,4.61586602254467e+00,4.71655789690496e+00,8.84776351706775e-01,-2.51357353576044e+00,-5.07494112865575e+01,-6.92425523731546e+00,8.96695267231942e-26,9.15918213294276e-01,8.62500000000000e-01,-2.83333333333324e-03
4.22196963433700e+00,1.62442974251918e+00,-4.40510891151363e+00,-4.44537005366605e+00,-3.00419508862302e+00,-4.62109005590258e+00,-5.05185114224204e+01,-6.92525523731551e+00,1.12846766650035e-25,3.36947480465444e-01,8.40000000000000e-01,-2.25000000000001e-02
-4.98437666739700e+00,-1.43041496218483e+00,3.95821974253753e+00,4.18053681023235e+00,3.61196952183838e+00,4.10340573183578e+00,-5.04730070484038e+01,-6.92625523731541e+00,1.17982372194043e-25,4.46742617699163e-01,8.42777777777778e-01,2.77777777777777e-03
4.13650923670245e+00,4.26163242052104e+00,4.89481549037611e+00,-3.38280829961923e+00,-1.39161195858140e+00,-4.10832284023870e+00,-5.02584965121266e+01,-6.92725523731543e+00,1.46064128474227e-25,6.73912033642479e-01,8.46842105263158e-01,4.06432748538010e-03
-3.89585464048319e+00,3.15205937348541e+00,-4.62607861302524e+00,-3.79356517883104e+00,1.90532169108419e+00,-4.94638798338790e+00,-5.00145844970004e+01,-6.92825523731549e+00,1.86225401587389e-25,7.60281730180777e-01,8.48000000000000e-01,1.15789473684214e-03
4.87060145071883e+00,4.87231204590504e+00,-4.80980305388541e+00,-2.83406169319507e-01,-2.31286078933358e+00,-3.53252616715710e+00,-4.97660180912380e+01,-6.92925523731550e+00,2.38536939822232e-25,9.78827795665472e-01,8.50476190476190e-01,2.47619047619052e-03
4.08887475174860e+00,2.68011062432028e+00,4.71084167867647e+00,-7.87509276524029e-02,4.29434138269739e+00,4.74316124254038e+00,-4.90331647998638e+01,-6.93025523731546e+00,4.95901577046259e-25,5.95104298180078e-01,8.45454545454545e-01,-5.02164502164504e-03
-5.00663991439168e-01,-4.64930950521931e+00,1.36833998420091e+00,4.08565577273660e+00,4.98218735170328e+00,-4.63855932214285e+00,-4.88986832487079e+01,-6.93125523731545e+00,5.66716412799212e-25,6.94804118445013e-01,8.46956521739130e-01,1.50197628458493e-03
4.95336269193273e+00,2.79492401964486e+00,-3.57854026356739e+00,-4.37801237677183e+00,4.40464252301933e+00,1.73515807298983e+00,-4.88796283540056e+01,-6.93225523731544e+00,5.77041345268078e-25,7.37103110396839e-01,8.47500000000000e-01,5.43478260869645e-04
-4.61217847606094e+00,3.75414298873113e+00,-2.83471335388437e+00,-1.62171633951050e+00,-4.34727309566906e+00,4.57010478732853e+00,-4.84216235432480e+01,-6.93325523731557e+00,9.11342448224993e-25,8.43540392788079e-01,8.48800000000000e-01,1.29999999999997e-03
4.36767503495152e+00,3.88951555738721e+00,-2.23020646478586e+00,-4.69633053932300e+00,-4.93276059318392e+00,-3.02687897765272e-01,-4.83426336584841e+01,-6.93425523731542e+00,9.85263004365699e-25,6.25848161373205e-01,8.45769230769231e-01,-3.03076923076928e-03
-4.91934111577966e+00,-2.01226629873096e+00,3.81383505030965e+00,-4.10866058438460e+00,2.06250797967573e+00,-4.59133342117878e+00,-4.80185532006570e+01,-6.93525523731544e+00,1.36101914969781e-24,8.27896722017689e-01,8.48518518518519e-01,2.74928774928784e-03
4.53139096352029e+00,-4.43657953076394e+00,-4.16607157532867e+00,3.79907800364916e-01,-4.07726200636949e+00,-3.22385047170772e+00,-4.78808820143604e+01,-6.93625523731548e+00,1.56034192538150e-24,1.11324734900894e+00,8.51428571428571e-01,2.91005291005286e-03
2.81268775171282e+00,1.72268923736252e+00,4.82185724007686e+00,-3.64717183237606e+00,-3.52725455225446e+00,4.98412749141072e+00,-4.78706770671775e+01,-6.93725523731548e+00,1.57477109839655e-24,1.36970659797890e+00,8.53448275862069e-01,2.01970443349753e-03
-3.36836274448498e+00,4.74857238818532e+00,2.32586235964867e+00,3.27251369200030e+00,-4.05858670037991e+00,4.24230959621780e+00,-4.77551839954464e+01,-6.93825523731549e+00,1.76579850544498e-24,6.11179632976100e-01,8.45333333333333e-01,-8.11494252873557e-03
4.65195675637267e+00,-2.08860931258560e+00,4.97749812424349e+00,1.83606358477127e+00,4.35966165067185e+00,-3.36269468573803e+00,-4.77456176186905e+01,-6.93925523731549e+00,1.78098997574740e-24,4.36941586330749e-01,8.41935483870968e-01,-3.39784946236565e-03
4.73851482740569e+00,4.00090202392682e+00,4.33934470616229e+00,3.66175599550193e+00,-3.69081181820942e+00,-3.43847934116127e-01,-4.77333474474643e+01,-6.94025523731546e+00,1.80117557162848e-24,6.75785777979431e-01,8.46250000000000e-01,4.31451612903222e-03
